Loc Tag,"Spanish"
SHOWDOWN_DESC_WIZARD_WACE,"Abate más trols magos que nadie."
SHOWDOWN_DESC_THE_DISTANCE,"Despeja más áreas en una pasada."
SHOWDOWN_DESC_WALK_THE_LINE,"Abate más proyectiles que hayan impactado en la nave."
SHOWDOWN_DESC_BAD_NEWS,"Despeja más áreas antes de abatir una oveja."
SHOWDOWN_DESC_SWORDLESS,"Obtén la mejor pasada sin usar Espadas fantasma."
SHOWDOWN_DESC_PROFIT_PARTY,"Logra más monedas de combo antes de abatir un globo."
SHOWDOWN_NOUN_TROLLS,"trols"
SHOWDOWN_NOUN_POINTS,"puntos"
SHOWDOWN_NOUN_HATS,"sombreros"
SHOWDOWN_NOUN_SECONDS,"segundos"
SHOWDOWN_NOUN_COINS,"monedas"
SHOWDOWN_NOUN_AREAS,"áreas"
SHOWDOWN_NOUN_BALLOONS,"globos"
SHOWDOWN_NOUN_COMBOS,"combos"
SHOWDOWN_NOUN_DEATHS,"muertes"
SHOWDOWN_NOUN_SHEEP,"oveja"
SHOWDOWN_NOUN_PROJECTILES,"proyectiles"
SHOWDOWN_MEDALEARNED_GOLD,"¡Medalla de oro!"
SHOWDOWN_MEDALEARNED_SILVER,"¡Medalla de plata!"
SHOWDOWN_MEDALEARNED_BRONZE,"¡Medalla de bronce!"
SHOWDOWN_DIDNT_BEAT_OLD_RACE_TIME,"¡{0} no superó tu mejor marca de {1}!"
SHOWDOWN_DETAILS_FRIENDS_TITLE,"Amigos"
SHOWDOWN_DETAILS_TAP_FRIENDS_TEXT,"Toca a un amigo y manda un mensaje"
SHOWDOWN_REWARDINFOHEADER,"Recompensa"
SHOWDOWN_STATE_COLLECT,"¡Recoge!"
SHOWDOWN_COLLECT_LARGEBUTTON,"Recoger"
SHOWDOWN_FRIEND_MESSAGE_TITLE,"Querido {0}..."
STOREHUB_MAGIC_ITEMS,"Objetos mágicos"
STOREHUB_GEMS,"Gemas"
STOREHUB_COINS,"Monedas"
STOREHUB_SKYLANDERS,"Colección"
COINSTORE_WHY,"¡Compra monedas para reforzar los objetos mágicos y otros artículos!"
GEMCONVERTER_TITLE,"Obtén moned. con gemas"
GEMSTORE_LOADINGPRODUCTS,"Cargando productos"
GEMSTORE_WHY,"Las gemas liberan Skylanders y obj. mágicos."
GEMSTORE_MONEY,"Comprar gemas cuesta dinero."
GEMSTORE_GREAT_VALUE,"¡Oferta!"
GEMSTORE_BEST_VALUE,"¡Superoferta!"
GEMSTORE_TITLE,"Comprar gemas"
SKYLANDERSELECT_TITLE,"Colección de Skylander"
RATEAPPDIALOG_TEXT,"¡Lo estás haciendo muy bien! Nos encantaría conocer tu opinión. ¡Valora el juego!"
RATEAPPDIALOG_OK,"¡OK!"
RATEAPPDIALOG_CANCEL,"Luego"
ACTIVATESELL_CANCEL,"Jugar solo"
ACTIVATESELL_OK,"Registrar"
SD_BUY_CONFIRM,"¿Liberar {0} por {1} gemas?"
SD_UPGRADE_TITLE,"Habilidad especial"
SD_REQUIREMENT_LEVEL,"Precisa nivel {0}"
SD_REQUIREMENT_MAGIC_ITEM,"Precisa {0}"
SONIC_BOOM_UPGRADE_NAME,"Botas sónicas"
SONIC_BOOM_UPGRADE_DESCRIPTION,"Botas aladas funciona dos veces"
WHIRLWIND_UPGRADE_NAME,"Barrera de viento"
WHIRLWIND_UPGRADE_DESCRIPTION,"El poder del viento frena los proyectiles"
LIGHTNING_ROD_UPGRADE_NAME,"Guerrero aéreo"
LIGHTNING_ROD_UPGRADE_DESCRIPTION,"Abate trols y logra monedas aéreas"
WARNADO_UPGRADE_NAME,"Botas a la vista"
WARNADO_UPGRADE_DESCRIPTION,"{Magic Item} aparece más veces"
STEALTH_ELF_UPGRADE_NAME,"Hiperactivo"
STEALTH_ELF_UPGRADE_DESCRIPTION,"¡Tira con supervelocidad!"
STUMP_SMASH_UPGRADE_NAME,"Rompecajas"
STUMP_SMASH_UPGRADE_DESCRIPTION,"Rompe cajas para ganar más puntos"
ZOOK_UPGRADE_NAME,"Buscatesoros"
CAMO_UPGRADE_NAME,"Desencantador"
CAMO_UPGRADE_DESCRIPTION,"Destruye magos y obtén monedas de vida"
CHOP_CHOP_UPGRADE_NAME,"Espadas fantasma"
CHOP_CHOP_UPGRADE_DESCRIPTION,"Espadas fantasma más grandes y rápidas"
GHOST_ROASTER_UPGRADE_NAME,"Tiempo muerto"
CYNDER_UPGRADE_NAME,"Barriles encantados"
CYNDER_UPGRADE_DESCRIPTION,"Se ganan más puntos al abatir barriles"
HEX_UPGRADE_NAME,"Tumbamagos"
HEX_UPGRADE_DESCRIPTION,"Los magos están mareados el doble"
L_CHOP_CHOP_UPGRADE_NAME,"Cortabombas"
L_CHOP_CHOP_UPGRADE_DESCRIPTION,"Espadas fantasma atraviesan bombas y escudos"
PRISM_BREAK_UPGRADE_NAME,"Sparxly"
TERRAFIN_UPGRADE_NAME,"Filón"
TERRAFIN_UPGRADE_DESCRIPTION,"Destruye rocas y obtén monedas de tierra"
BASH_UPGRADE_NAME,"Golpe celestial"
BASH_UPGRADE_DESCRIPTION,"Inicia el viaje con {Magic Item}"
DINO_RANG_UPGRADE_NAME,"Dino-Lluvia"
L_BASH_UPGRADE_NAME,"Maxibomba"
L_BASH_UPGRADE_DESCRIPTION,"El maxicombo destruye todas las bombas"
IGNITOR_UPGRADE_NAME,"Acumulación de armas"
IGNITOR_UPGRADE_DESCRIPTION,"{Magic Item} aparece más veces"
ERUPTOR_UPGRADE_NAME,"Alas picantes"
ERUPTOR_UPGRADE_DESCRIPTION,"Inicia el viaje con Botas aladas"
FLAMESLINGER_UPGRADE_NAME,"A dos manos"
SUNBURN_UPGRADE_NAME,"Malvado y verde"
SUNBURN_UPGRADE_DESCRIPTION,"Destruye plantas y obtén monedas fuego"
GILL_GRUNT_UPGRADE_NAME,"Afinidad al yunque"
GILL_GRUNT_UPGRADE_DESCRIPTION,"{Magic Item} se genera más veces"
ZAP_UPGRADE_NAME,"Inicio lento"
SLAM_BAM_UPGRADE_NAME,"Ovejas chafadas"
SLAM_BAM_UPGRADE_DESCRIPTION,"Atiza ovejas para ganar monedas de agua"
WHAM_SHELL_UPGRADE_NAME,"Guarda almejas"
WHAM_SHELL_UPGRADE_DESCRIPTION,"Coste de Elixir salud reducido"
SPYRO_UPGRADE_NAME,"Puntos de dragón"
SPYRO_UPGRADE_DESCRIPTION,"Empieza con el bono 5x de distancia"
VOODOOD_UPGRADE_NAME,"Gastaescudos"
VOODOOD_UPGRADE_DESCRIPTION,"Abatir trols con escudo otorga monedas mágicas"
WRECKING_BALL_UPGRADE_NAME,"El twist"
DOUBLE_TROUBLE_UPGRADE_NAME,"Doble libélula"
DARK_SPYRO_UPGRADE_NAME,"Puntos oscuros"
DARK_SPYRO_UPGRADE_DESCRIPTION,"Llega al área 10 y obtén un bono 10x"
L_SPYRO_UPGRADE_NAME,"Puntos legendarios"
DROBOT_UPGRADE_NAME,"Dedo robótico"
DROBOT_UPGRADE_DESCRIPTION,"Dispara automáticamente al alcanzar el maxicombo"
BOOMER_UPGRADE_NAME,"Barril bomba"
BOOMER_UPGRADE_DESCRIPTION,"Monedas técnicas por abatir barriles explosivos"
TRIGGER_HAPPY_UPGRADE_NAME,"Yunque dorado"
TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Nube yunque se cambia por el yunque dorado gigante"
DRILL_SERGEANT_UPGRADE_NAME,"Inicio próspero"
L_TRIGGER_HAPPY_UPGRADE_NAME,"Yunque dorado ofensivo"
L_TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Yunque dorado y aparece más a menudo"
MAGICITEMSELECT_TITLE,"Elige un objeto"
MAGIC_ITEM_UPGRADE_WHY,"Los objetos mágicos sirven para sacudir a los trols y obtener bonos. ¡Libéralos y mejóralos!"
MAGIC_ITEM_UNLOCK,"LIBERAR"
MAGIC_ITEM_UNLOCK_CONFIRM,"¿Liberar {0} por {1} gemas?"
DIALOG_YES,"SÍ"
DIALOG_NO,"NO"
MAGIC_ITEM_BUTTON_UPGRADE,"Mejora:"
GEM_REFUND_MAGIC_ITEM,"¡Devolución! ¡Enlaza el objeto mágico y recupera {0} gemas!"
GEM_REFUND_SKYLANDER,"¡Devolución! ¡Enlaza tu Skylander y recupera {0} gemas!"
DIALOG_OK,"¡OK!"
TOYLINK_TOUCH_HERE,"Toca para escribir el código"
TOYLINK_INSTRUCTIONS,"¡Escribe el código web para liberar el objeto mágico!"
TOYLINK_ENTER_BUTTON,"Escribir"
TOYLINK_TIP_TEXT,"Si has perdido la tarjeta web original, puedes recuperarla usando el Portal de Skylanders.
Consulta la pantalla "Obtener ayuda"."
TOYLINK_ERROR_NO_TEXT_ENTERED,"Escribe el código de la tarjeta web."
TOYLINK_ERROR_NOT_ONLINE,"Imposible conectarse a Internet. Verifica que estás online."
TOYLINK_ERROR_BUTTON_RETRY,"Reintentar"
TOYLINK_ERROR_INVALID_CODE,"Parece que el código no es válido."
TOYLINK_ERROR_WRONG_TOY,"El código no está asociado a "{0}"."
GAME_AREAS_CLEAR_PLURAL,"Zonas Completas"
BONUS_OKAY,"¡Vale!"
BONUS_NOT_BAD,"¡No está mal!"
BONUS_ALMOST,"¡Casi!"
BONUS_SO_CLOSE,"¡Por poco!"
BONUS_PERFECT,"¡Perfecto!"
PAUSE_QUIT,"Salir"
PAUSE_CONTINUE,"Continuar"
PAUSE_GOALS_SUBTEXT,"Objetivos actuales"
PAUSE_QUIT_CONFIRM,"¿Finalizar viaje?"
GAME_OVER,"Fin del juego"
GAME_FINAL_SCORE,"Puntuación final"
GAME_HIGH_SCORE,"Récord"
AWARD_LEVEL_UP,"¡Un nivel más!"
INTRO_SKIP,"¿Omitir?"
PAUSE_HEADER_TITLE,"Pausa"
LOADOUT_EOTD_NO_MATCH,"Sin partida"
LOADOUT_EOTD_ELEMENT,"Elemento del día"
LOADOUT_EOTD_MATCH,"¡Partida!"
GAME_MAGIC_ITEM_LEVEL,"Nivel {0}"
GAME_DISTANCE_BONUS,"{0}x Bono de distancia"
GAME_MAGIC_ITEM_BONUS,"Bono {0}"
GAME_MAGIC_ITEM_SNEAK_PREVIEW,"Avance"
HIDEOUT_POPUP,"¡Guarida!"
GAME_NEW_HIGH_SCORE,"¡Nuevo récord!"
AWARD_LEVEL_UP_GEMS,"Tienes {0} gemas"
GAME_DIFFICULTY_UP,"¡Más dificultad!"
GOALS_NEW,"Nuevo"
GOAL_COMPLETED_TEXT,"¡Completado!"
TUTORIAL_TAP_TROLLS,"¡Toca los trols para abatirlos!"
TUTORIAL_SHOOT_ALL_TROLLS,"¡Abate todos los trols para pasar al área siguiente!"
TUTORIAL_SLIDE,"Desliza el dedo por los trols..."
TUTORIAL_COINS,"¡Bien! ¡Coge las monedas!"
TUTORIAL_BIGGER_COMBOS,"¡A más combos, más monedas y puntos!"
TUTORIAL_TARGET_ALL_6,"¡Ve a por los seis para el maxicombo!"
TUTORIAL_GREAT_COMBO,"¡Gran combo! Toca las monedas para cogerlas."
TUTORIAL_MAGIC_ITEM_UNLOCK,"¡Libera más objetos mágicos en la colección!"
TUTORIAL_MAGIC_ITEM_COLLECT,"¡Toca el objeto mágico para cogerlo!"
TUTORIAL_MAGIC_ITEM_USE,"¡Toca el objeto mágico para usarlo!"
HEADER_NEW_HIGH_SCORE,"Nuevo récord {0}"
TAB_LEADERBOARDS,"Marcadores"
TAB_CHALLENGES_NEW,"NUEVO"
FOOTER_NO_GEMS_NAG,"No tienes gemas suficientes. ¡Tócame para ir a la tienda de gemas!"
FOOTER_NO_COINS_NAG,"No tienes monedas suficientes. ¡Tócame para ir a la tienda de monedas!"
FOOTER_LEVEL_NAG_SINGLE,"{0} estrella más para subir de nivel y tener {1} gemas."
FOOTER_LEVEL_NAG_PLURAL,"{0} estrellas más para subir de nivel y tener {1} gemas."
SD_SELECT_BUTTON,"¡ELIGE!"
SD_UPGRADE_CONFIRM,"¿Liberar {0} para {1} monedas?"
ZOOK_UPGRADE_DESCRIPTION,"Gran tesoro aparece más veces"
GHOST_ROASTER_UPGRADE_DESCRIPTION,"Reloj de arena funciona dos veces"
PRISM_BREAK_UPGRADE_DESCRIPTION,"Libélula destruye 5 bombas más por uso"
DINO_RANG_UPGRADE_DESCRIPTION,"Nube yunque funciona dos veces"
FLAMESLINGER_UPGRADE_DESCRIPTION,"Espadas fantasma funciona 2 veces"
ZAP_UPGRADE_DESCRIPTION,"Inicia el viaje con Reloj de arena"
WRECKING_BALL_UPGRADE_DESCRIPTION,"Reloj de arena se genera más veces"
DOUBLE_TROUBLE_UPGRADE_DESCRIPTION,"Libélula funciona dos veces"
L_SPYRO_UPGRADE_DESCRIPTION,"Llega al área 40 y obtén un bono 40x"
DRILL_SERGEANT_UPGRADE_DESCRIPTION,"Inicia el viaje con Gran tesoro"
GEM_REFUND_TITLE,"¡Devolución!"
GAME_AREAS_CLEAR_SINGULAR,"Zona completa"
GAME_AREAS_CLEARED_RECORD,"Récord: {0}"
BONUS_POOR,"Mal"
LOADOUT_EOTD_COIN_BONUS,"¡Bono!"
GAME_CONTINUE,"¿Continuar?"
GOAL_REMAINING_TEXT,"más."
AWARD_COINS_EOTD,"Elemento del día"
AWARD_COINS_MATCH,"PARTIDA"
AWARD_COINS_SKYLANDERS_PLURAL,"{0} Skylanders"
AWARD_COINS_SKYLANDERS_SINGLE,"{0} Skylander"
AWARD_GEMS_SINGLE,"Gema encontrada"
AWARD_GEMS_PLURAL,"{0} gemas encontradas"
TAB_SHOWDOWNS,"Batallas"
SHOWDOWN_MEDAL_AWARD_HEADER,"GANAS MEDALLA DE BATALLA"
