Loc Tag,"French"
GOAL_SHOOT_HATS,"Abats {goal} chapeaux."
GOAL_SHOOT_HATS_ONE_RUN,"Abats {goal} chapeaux en un passage."
GOAL_SHOOT_SHEEP,"Abats {goal} moutons."
GOAL_SHOOT_SHEEP_ONE_RUN,"Abats {goal} moutons en un passage."
GOAL_SHOOT_PROJECTILES,"Abats {goal} projectiles."
GOAL_SHOOT_PROJECTILES_ONE_RUN,"Abats {goal} projectiles en un passage."
GOAL_SHOOT_PRESENTS,"Abats {goal} cadeaux."
GOAL_SHOOT_PRESENTS_ONE_RUN,"Abats {goal} cadeaux en un passage."
GOAL_SHOOT_TROLLS_FLYING,"Abats {goal} Trolls volants."
GOAL_SHOOT_TROLLS_FLYING_ONE_RUN,"Abats {goal} Trolls volants en un passage."
GOAL_SHOOT_VASES,"Brise {goal} vases."
GOAL_SHOOT_VASES_ONE_RUN,"Brise {goal} vases en un passage."
GOAL_CLEAR_HIDEOUT,"Termine un repaire."
GOAL_CLEAR_HIDEOUTS,"Termine {goal} repaires."
GOAL_CLEAR_HIDEOUTS_ONE_RUN,"Termine {goal} repaires en un passage."
GOAL_USE_ANY_MAGIC_ITEM,"Utilise un objet magique {goal} fois."
GOAL_USE_ANY_MAGIC_ITEM_ONE_RUN,"Utilise un objet magique {goal} fois en un passage."
GOAL_USE_SPECIFIC_MAGIC_ITEM,"Utilise l'objet magique : {magicItem}."
GOAL_USE_MIN_LEVEL_MAGIC_ITEM,"Utilise un objet magique de niveau {level} ou supérieur."
GOAL_GET_COMBOS,"Obtiens {goal} combos {combo}x."
GOAL_GET_MAX_COMBOS,"Obtiens {goal} combos max."
GOAL_GET_COMBOS_ONE_RUN,"Obtiens {goal} combos {combo}x en un passage."
GOAL_GET_MAX_COMBOS_ONE_RUN,"Obtiens {goal} combos max en un passage."
GOAL_GET_MIN_COMBOS,"Obtiens {goal} combos {combo}x ou plus."
GOAL_GET_MIN_COMBOS_ONE_RUN,"Obtiens {goal} combos {combo}x ou plus en un passage."
GOAL_COLLECT_COINS,"Collecte {goal} pièces."
GOAL_COLLECT_COINS_ONE_RUN,"Collecte {goal} pièces en un passage."
GOAL_TAP_TROLLS,"Pointe-abats {goal} Trolls."
GOAL_TAP_TROLLS_ONE_RUN,"Pointe-abats {goal} Trolls en un passage."
GOAL_SHOOT_ONLY_TROLLS,"Ne tire que sur des Trolls dans {goal} zones à la suite."
GOAL_USE_ELEMENT_SKYLANDER,"Utilise un Skylander de type {element}."
GOAL_USE_SPECIFIC_SKYLANDER,"Utilise {skylander}."
GOAL_SHOOT_TROLLS_ELEMENT,"Abats {goal} Trolls avec un Skylander de type {element}. "
GOAL_SHOOT_TROLLS_ELEMENT_ONE_RUN,"Abats {goal} Trolls en un passage avec un Skylander de type {element}. "
GOAL_CLEAR_AREAS_ELEMENT,"Termine {goal} zones avec un Skylander de type {element}. "
GOAL_CLEAR_AREAS_ELEMENT_ONE_RUN,"Termine {goal} zones en un passage avec un Skylander de type {element}. "
GOAL_DESTROY_CRATES_ELEMENT,"Détruis {goal} caisses avec un Skylander de type {element}. "
GOAL_DESTROY_CRATES_ELEMENT_ONE_RUN,"Détruis {goal} caisses en un passage avec un Skylander de type {element}. "
GOAL_DESTROY_BARRLES_ELEMENT,"Détruis {goal} tonneaux avec un Skylander de type {element}. "
GOAL_DESTROY_BARRELS_ELEMENT_ONE_RUN,"Détruis {goal} tonneaux en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_BALLOONS_ELEMENT,"Perce {goal} ballons avec un Skylander de type {element}. "
GOAL_SHOOT_BALLOONS_ELEMENT_ONE_RUN,"Perce {goal} ballons en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_HATS_ELEMENT,"Abats {goal} chapeaux avec un Skylander de type {element}. "
GOAL_SHOOT_HATS_ELEMENT_ONE_RUN,"Abats {goal} chapeaux en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_SHEEP_ELEMENT,"Abats {goal} moutons avec un Skylander de type {element}. "
GOAL_SHOOT_SHEEP_ELEMENT_ONE_RUN,"Abats {goal} moutons en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_PROJECTILES_ELEMENT,"Abats {goal} projectiles avec un Skylander de type {element}. "
GOAL_SHOOT_PROJECTILES_ELEMENT_ONE_RUN,"Abats {goal} projectiles en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_PRESENT_ELEMENT,"Abats {goal} cadeaux avec un Skylander de type {element}. "
GOAL_SHOOT_PRESENT_ELEMENT_ONE_RUN,"Abats {goal} cadeaux en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_FLYING_TROLL_ELEMENT,"Abats {goal} Trolls volants avec un Skylander de type {element}. "
GOAL_SHOOT_FLYING_TROLL_ELEMENT_ONE_RUN,"Abats {goal} Trolls volants en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_VASES_ELEMENT,"Brise {goal} vases avec un Skylander de type {element}. "
GOAL_SHOOT_VASES_ELEMENT_ONE_RUN,"Brise {goal} vases en un passage avec un Skylander de type {element}. "
GOAL_HIDEOUTS_ELEMENT,"Termine {goal} repaires avec un Skylander de type {element}. "
GOAL_HIDEOUTS_ELEMENT_ONE_RUN,"Termine {goal} repaires en un passage avec un Skylander de type {element}. "
GOAL_COMBOS_ELEMENT,"Obtiens {goal} combos {combo}x avec un Skylander de type {element}. "
GOAL_MAX_COMBOS_ELEMENT,"Obtiens {goal} combos max avec un Skylander de type {element}. "
GOAL_COINS_ELEMENT,"Collecte {goal} pièces avec un Skylander de type {element}. "
GOAL_COINS_ELEMENT_ONE_RUN,"Collecte {goal} pièces en un passage avec un Skylander de type {element}. "
GOAL_TAP_SHOOT_TROLL_ELEMENT,"Pointe-abats {goal} Trolls avec un Skylander de type {element}. "
GOAL_TAP_SHOOT_TROLL_ELEMENT_ONE_RUN,"Pointe-abats {goal} Trolls en un passage avec un Skylander de type {element}. "
GOAL_SHOOT_TROLLS_SKYLANDER,"Abats {goal} Trolls avec {skylander}."
GOAL_SHOOT_TROLLS_SKYLANDER_ONE_RUN,"Abats {goal} Trolls en un passage avec {skylander}."
GOAL_CLEAR_AEAS_SKYLANDER,"Termine {goal} zones avec {skylander}."
GOAL_CLEAR_AREAS_SKYLANDER_ONE_RUN,"Termine {goal} zones en un passage avec {skylander}."
GOAL_CRATES_SKYLANDER,"Détruis {goal} caisses avec {skylander}."
GOAL_CRATES_SKYLANDER_ONE_RUN,"Détruis {goal} caisses en un passage avec {skylander}."
GOAL_BARREL_SKYLANDER,"Détruis {goal} tonneaux avec {skylander}."
GOAL_BARREL_SKYLANDER_ONE_RUN,"Détruis {goal} tonneaux en un passage avec {skylander}."
GOAL_POP_BALLOONS_SKYLANDER,"Perce {goal} ballons avec {skylander}."
GOAL_POP_BALLOONS_SKYLANDER_ONE_RUN,"Perce {goal} ballons en un passage avec {skylander}."
GOAL_HATS_SKYLANDER,"Abats {goal} chapeaux avec {skylander}."
GOAL_HATS_SKYLANDER_ONE_RUN,"Abats {goal} chapeaux en un passage avec {skylander}."
GOAL_SHEEP_SKYLANDER,"Abats {goal} moutons avec {skylander}."
GOAL_SHEEP_SKYLANDER_ONE_RUN,"Abats {goal} moutons en un passage avec {skylander}."
GOAL_PROJECTILES_SKYLANDER,"Abats {goal} projectiles avec {skylander}."
GOAL_PROJECTILES_SKYLANDER_ONE_RUN,"Abats {goal} projectiles en un passage avec {skylander}."
GOAL_PRESENTS_SKYLANDER,"Abats {goal} cadeaux avec {skylander}."
GOAL_PRESENTS_SKYLANDER_ONE_RUN,"Abats {goal} cadeaux en un passage avec {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER,"Abats {goal} Trolls volants avec {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER_ONE_RUN,"Abats {goal} Trolls volants en un passage avec {skylander}."
GOAL_VASES_SKYLANDER,"Brise {goal} vases avec {skylander}."
GOAL_VASES_SKYLANDER_ONE_RUN,"Brise {goal} vases en un passage avec {skylander}."
GOAL_HIDEOUTS_SKYLANDER,"Termine {goal} repaires avec {skylander}."
GOAL_HIDEOUTS_SKYLANDER_ONE_RUN,"Termine {goal} repaires en un passage avec {skylander}."
GOAL_COMBOS_SKYLANDER,"Obtiens {goal} combos {combo}x avec {skylander}."
GOAL_COMBOS_SKYLANDER_ONE_RUN,"Obtiens {goal} combos max avec {skylander}."
GOAL_COINS_SKYLANDER,"Collecte {goal} pièces avec {skylander}."
GOAL_COINS_SKYLANDER_ONE_RUN,"Collecte {goal} pièces en un passage avec {skylander}."
GOAL_TAP_TROLLS_SKYLANDER,"Pointe-abats {goal} Trolls avec {skylander}."
GOAL_TAP_TROLLS_SKYLANDER_ONE_RUN,"Pointe-abats {goal} Trolls en un passage avec {skylander}."
GOAL_EXPLOSIVE_BARRELS,"Détruis {goal} tonneaux explosifs."
GOAL_EXPLOSIVE_BARRELS_ONE_RUN,"Détruis {goal} tonneaux explosifs en un passage."
GOAL_EXPLOSIVE_BARRELS_ELEMENT,"Détruis {goal} tonneaux explosifs avec un Skylander de type {element}. "
GOAL_ELEMENTAL_COINS,"Trouve {goal} pièces élémentaires."
SHOWDOWN_NAME_TROLLPOCALYPSE,"Troll-pocalypse"
SHOWDOWN_NAME_PERFECT_RUN,"Passage parfait"
SHOWDOWN_NAME_HAT_HUSTLER,"Chasseur de chapeaux"
SHOWDOWN_NAME_SPEEP_SNIPER,"Tireur de moutons"
SHOWDOWN_NAME_BOMB_SQUAD,"Bombardier"
SHOWDOWN_NAME_OH_SHINY,"Oh, ça brille !"
SHOWDOWN_NAME_FAVORITE_NUMBER,"Mon chiffre préféré"
SHOWDOWN_NAME_THE_SLOG,"Pénibilité"
SHOWDOWN_NAME_PARTY_POOPER,"Gâcheur de fête"
SHOWDOWN_NAME_COMBO_CRUNCH,"Combos en stock"
SHOWDOWN_NAME_SHOT_SHOOTER,"Défense rapprochée"
SHOWDOWN_NAME_MAGICIAN,"Magicien"
SHOWDOWN_NAME_CAPT_COMBO,"Capitaine Combo"
SHOWDOWN_NAME_27_PROBLEMS,"27 problèmes"
SHOWDOWN_NAME_OUT_TO_PASTURE,"Pâturage"
SHOWDOWN_NAME_SCROOGE,"Harpagon"
SHOWDOWN_NAME_PROTECT_THIS,"Protecteur"
SHOWDOWN_NAME_MAD_MAX,"Mad Max"
SHOWDOWN_NAME_WIZARD_WACE,"Sorcier de Wace"
SHOWDOWN_NAME_THE_DISTANCE,"La distance"
SHOWDOWN_NAME_WALK_THE_LINE,"Doigt sur la couture"
SHOWDOWN_NAME_BAD_NEWS,"Mauvaise nouvelle"
SHOWDOWN_NAME_SWORDLESS,"Désarmé"
SHOWDOWN_NAME_PROFIT_PARTY,"Ça profite"
SHOWDOWN_DESC_TROLLPOCALYPSE,"Abats le plus de Trolls."
SHOWDOWN_DESC_PERFECT_RUN,"Marque le plus de points en un passage."
SHOWDOWN_DESC_HAT_HUSTLER,"Abats le plus de chapeaux en 5 minutes."
SHOWDOWN_DESC_SPEEP_SNIPER,"Vide totalement 2 salles bonus le plus vite."
SHOWDOWN_DESC_BOMB_SQUAD,"Détruis le plus vite 20 bombes."
SHOWDOWN_DESC_OH_SHINY,"Trouve le plus de pièces élémentaires."
SHOWDOWN_DESC_FAVORITE_NUMBER,"Termine avec le score le plus proche de 123456."
SHOWDOWN_DESC_THE_SLOG,"Termine le plus de zones."
SHOWDOWN_DESC_PARTY_POOPER,"Abats le plus de ballons en 15 minutes."
SHOWDOWN_DESC_COMBO_CRUNCH,"Collecte le plus vite 100 pièces de combo."
SHOWDOWN_DESC_SHOT_SHOOTER,"Détruis le plus vite 50 projectiles."
SHOWDOWN_DESC_MAGICIAN,"Obtiens le plus de points avec des objets magiques en 15 min."
SHOWDOWN_DESC_CAPT_COMBO,"Obtiens le plus de combos max en 10 minutes."
SHOWDOWN_DESC_27_PROBLEMS,"Meurs le plus de fois dans la zone 27."
SHOWDOWN_DESC_OUT_TO_PASTURE,"Abats le plus de moutons en 10 minutes."
SHOWDOWN_DESC_SCROOGE,"Collecte le plus de pièces en un passage."
SHOWDOWN_DESC_PROTECT_THIS,"Abats le plus de Trolls protecteur en 30 minutes."
SHOWDOWN_DESC_MAD_MAX,"Obtiens le plus de combos max en 1 passage."
SHOWDOWN_DESC_WIZARD_WACE,"Abats le plus de Trolls sorciers."
SHOWDOWN_DESC_THE_DISTANCE,"Termine le plus de zones en un passage."
SHOWDOWN_DESC_WALK_THE_LINE,"Abats le plus de projectiles qui ont touché ton vaisseau."
SHOWDOWN_DESC_BAD_NEWS,"Termine le plus de zones avant d'abattre un mouton."
SHOWDOWN_DESC_SWORDLESS,"Réussis le meilleur passage avant d'utiliser Épée pirate."
SHOWDOWN_DESC_PROFIT_PARTY,"Obtiens le plus de pièces de combo avant d'abattre un ballon."
SHOWDOWN_NOUN_TROLLS,"Trolls"
SHOWDOWN_NOUN_POINTS,"Points"
SHOWDOWN_NOUN_HATS,"Chapeaux"
SHOWDOWN_NOUN_SECONDS,"Secondes"
SHOWDOWN_NOUN_COINS,"Pièces"
SHOWDOWN_NOUN_AREAS,"Zones"
SHOWDOWN_NOUN_BALLOONS,"Ballons"
SHOWDOWN_NOUN_COMBOS,"Combos"
SHOWDOWN_NOUN_DEATHS,"Morts"
SHOWDOWN_NOUN_SHEEP,"Moutons"
SHOWDOWN_NOUN_PROJECTILES,"Projectiles"
SHOWDOWN_MEDALEARNED_GOLD,"Médaille d'or !"
SHOWDOWN_MEDALEARNED_SILVER,"Médaille d'argent !"
SHOWDOWN_MEDALEARNED_BRONZE,"Médaille de bronze !"
SHOWDOWN_DIDNT_BEAT_OLD_RACE_TIME,"{0} n'a pas battu ton précédent record {1} !"
SHOWDOWN_DETAILS_FRIENDS_TITLE,"Amis"
SHOWDOWN_DETAILS_TAP_FRIENDS_TEXT,"Touche un ami pour envoyer un message"
SHOWDOWN_REWARDINFOHEADER,"Info récompense"
SHOWDOWN_STATE_COLLECT,"Collecte !"
SHOWDOWN_COLLECT_LARGEBUTTON,"Collecter"
SHOWDOWN_FRIEND_MESSAGE_TITLE,"{0}..."
STOREHUB_MAGIC_ITEMS,"Objets magiques"
STOREHUB_GEMS,"Gemmes"
STOREHUB_COINS,"Pièces"
STOREHUB_SKYLANDERS,"Collection"
COINSTORE_WHY,"Achète des packs de pièces pour améliorer la puissance de tes objets magiques et bien plus !"
GEMCONVERTER_TITLE,"Achat de pièces avec des gemmes"
GEMSTORE_LOADINGPRODUCTS,"Chargement des produits"
GEMSTORE_WHY,"Les gemmes débloquent des Skylanders et des objets magiques."
GEMSTORE_MONEY,"Les gemmes coûtent de l'argent réel."
GEMSTORE_GREAT_VALUE,"Bonne affaire"
GEMSTORE_BEST_VALUE,"SUPER affaire"
GEMSTORE_TITLE,"Achète des gemmes"
SKYLANDERSELECT_TITLE,"Collection de Skylander"
RATEAPPDIALOG_TEXT,"Tu t'en sors très bien ! Nous aimerions beaucoup savoir ce que tu penses du jeu, alors merci de le noter !"
RATEAPPDIALOG_OK,"OK !"
RATEAPPDIALOG_CANCEL,"Plus tard"
ACTIVATESELL_CANCEL,"Jouer seul"
ACTIVATESELL_OK,"S'inscrire"
SD_BUY_CONFIRM,"Débloquer {0} pour {1} gemmes ?"
SD_UPGRADE_TITLE,"Compétence spéciale"
SD_REQUIREMENT_LEVEL,"Niveau {0} requis"
SD_REQUIREMENT_MAGIC_ITEM,"Nécessite {0}"
SONIC_BOOM_UPGRADE_NAME,"Bottes soniques"
SONIC_BOOM_UPGRADE_DESCRIPTION,"La Botte ailée est utilisable deux fois de suite"
WHIRLWIND_UPGRADE_NAME,"Vent protecteur"
WHIRLWIND_UPGRADE_DESCRIPTION,"La puissance du feu ralentit tous les projectiles"
LIGHTNING_ROD_UPGRADE_NAME,"Guerrier du vent"
LIGHTNING_ROD_UPGRADE_DESCRIPTION,"Abats les Trolls volants pour gagner des pièces aériennes"
WARNADO_UPGRADE_NAME,"Bottes marines"
WARNADO_UPGRADE_DESCRIPTION,"La Botte ailée apparaît plus souvent"
STEALTH_ELF_UPGRADE_NAME,"Hyperactif"
STEALTH_ELF_UPGRADE_DESCRIPTION,"Tire très rapidement !"
STUMP_SMASH_UPGRADE_NAME,"Fracasse-caisse"
STUMP_SMASH_UPGRADE_DESCRIPTION,"Casse les caisses pour des bonus"
ZOOK_UPGRADE_NAME,"Chasse au trésor"
CAMO_UPGRADE_NAME,"Désenchanteur"
CAMO_UPGRADE_DESCRIPTION,"Obtiens des pièces de vie en détruisant les sorciers"
CHOP_CHOP_UPGRADE_NAME,"Épées fantômes"
CHOP_CHOP_UPGRADE_DESCRIPTION,"L'Épée pirate est plus grande et plus rapide"
GHOST_ROASTER_UPGRADE_NAME,"Temps mort"
CYNDER_UPGRADE_NAME,"Tonneaux hantés"
CYNDER_UPGRADE_DESCRIPTION,"Tire dans les tonneaux pour marquer des points bonus"
HEX_UPGRADE_NAME,"Asticoteur de sorcier"
HEX_UPGRADE_DESCRIPTION,"Les sorciers restent étourdis deux fois plus longtemps"
L_CHOP_CHOP_UPGRADE_NAME,"Destructeur de bombes"
L_CHOP_CHOP_UPGRADE_DESCRIPTION,"L'Épée pirate traverse les bombes et les boucliers"
PRISM_BREAK_UPGRADE_NAME,"Sparx"
TERRAFIN_UPGRADE_NAME,"Forçat"
TERRAFIN_UPGRADE_DESCRIPTION,"Gagne des pièces de terre en détruisant des rochers"
BASH_UPGRADE_NAME,"Frappe céleste"
BASH_UPGRADE_DESCRIPTION,"Commence le voyage avec l'Enclume"
DINO_RANG_UPGRADE_NAME,"Dino-pluie"
L_BASH_UPGRADE_NAME,"Bombo max"
L_BASH_UPGRADE_DESCRIPTION,"Combo max détruit toutes les bombes à l'écran"
IGNITOR_UPGRADE_NAME,"Accumulation d'armes"
IGNITOR_UPGRADE_DESCRIPTION,"L'Épée pirate apparaît plus souvent"
ERUPTOR_UPGRADE_NAME,"Ailes piquantes"
ERUPTOR_UPGRADE_DESCRIPTION,"Commence le voyage avec la Botte ailée"
FLAMESLINGER_UPGRADE_NAME,"Ambidextre"
SUNBURN_UPGRADE_NAME,"Anti-écolo"
SUNBURN_UPGRADE_DESCRIPTION,"Détruis les arbres et buissons pour des pièces de feu"
GILL_GRUNT_UPGRADE_NAME,"Affinité d'enclume"
GILL_GRUNT_UPGRADE_DESCRIPTION,"Enclume apparaît plus souvent"
ZAP_UPGRADE_NAME,"Début lent"
SLAM_BAM_UPGRADE_NAME,"Frappe-moutons"
SLAM_BAM_UPGRADE_DESCRIPTION,"Frappe les moutons pour gagner des pièces d'eau"
WHAM_SHELL_UPGRADE_NAME,"Sauve les coquillages"
WHAM_SHELL_UPGRADE_DESCRIPTION,"Élixir coûte moins cher"
SPYRO_UPGRADE_NAME,"Score du dragon"
SPYRO_UPGRADE_DESCRIPTION,"Commence le voyage avec un bonus distance 5x"
VOODOOD_UPGRADE_NAME,"Brûle-bouclier"
VOODOOD_UPGRADE_DESCRIPTION,"Tire sur les Trolls à bouclier pour gagner des pièces magiques"
WRECKING_BALL_UPGRADE_NAME,"Un doublé"
DOUBLE_TROUBLE_UPGRADE_NAME,"Double Sparx"
DARK_SPYRO_UPGRADE_NAME,"Score noir"
DARK_SPYRO_UPGRADE_DESCRIPTION,"Parviens à la zone 10 pour un bonus 10x supplémentaire"
L_SPYRO_UPGRADE_NAME,"Score légendaire"
DROBOT_UPGRADE_NAME,"Doigt robot"
DROBOT_UPGRADE_DESCRIPTION,"Tire automatiquement quand tu arrives à combo max"
BOOMER_UPGRADE_NAME,"Explosion de tonneau"
BOOMER_UPGRADE_DESCRIPTION,"Fais sauter les tonneaux explosifs pour gagner des pièces Tech"
TRIGGER_HAPPY_UPGRADE_NAME,"Enclume d'or"
TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"L'Enclume est remplacée par la grande Enclume d'or"
DRILL_SERGEANT_UPGRADE_NAME,"Cuillère en argent"
L_TRIGGER_HAPPY_UPGRADE_NAME,"Assaut d'Enclume d'or"
L_TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"L'Enclume d'or apparaît plus fréquemment"
MAGICITEMSELECT_TITLE,"Choisis un objet magique"
MAGIC_ITEM_UPGRADE_WHY,"Les objets magiques t'aident à battre les Trolls et te permettent de marquer plus de points. Débloque et améliore-les tous !"
MAGIC_ITEM_UNLOCK,"DÉBLOQUE"
MAGIC_ITEM_UNLOCK_CONFIRM,"Débloquer {0} pour {1} gemmes ?"
DIALOG_YES,"OUI"
DIALOG_NO,"NON"
MAGIC_ITEM_BUTTON_UPGRADE,"Améliorer"
GEM_REFUND_MAGIC_ITEM,"Remboursement de gemmes ! Associe ton objet magique et récupère {0} gemmes !"
GEM_REFUND_SKYLANDER,"Remboursement de gemmes ! Associe ton Skylander et récupère {0} gemmes !"
DIALOG_OK,"OK !"
TOYLINK_TOUCH_HERE,"Touche ici pour taper ton code"
TOYLINK_INSTRUCTIONS,"Indique ton Code carte Web pour débloquer ton objet magique !"
TOYLINK_ENTER_BUTTON,"Entrée"
TOYLINK_TIP_TEXT,"Si tu as perdu ta carte de code Web originale, tu peux retrouver le code en utilisant ton portail Skylanders !
Réfère-toi à l'écran "Aide" pour plus de détails."
TOYLINK_ERROR_NO_TEXT_ENTERED,"Indique le code précisé sur ta carte de code Web."
TOYLINK_ERROR_NOT_ONLINE,"Connexion à Internet impossible. Vérifie que tu es en ligne."
TOYLINK_ERROR_BUTTON_RETRY,"Réessayer"
TOYLINK_ERROR_INVALID_CODE,"Ce code semble ne pas être valide."
TOYLINK_ERROR_WRONG_TOY,"Ce code n'est pas associé à '{0}'"
GAME_AREAS_CLEAR_PLURAL,"zones terminées"
BONUS_OKAY,"OK !"
BONUS_NOT_BAD,"Pas mal !"
BONUS_ALMOST,"Presque !"
BONUS_SO_CLOSE,"Vraiment pas loin !"
BONUS_PERFECT,"Parfait !"
PAUSE_QUIT,"Quitter"
PAUSE_CONTINUE,"Continuer"
PAUSE_GOALS_SUBTEXT,"Tes objectifs actuels"
PAUSE_QUIT_CONFIRM,"Mettre fin à ce voyage ?"
GAME_OVER,"Fin de partie"
GAME_FINAL_SCORE,"Score final"
GAME_HIGH_SCORE,"Record"
AWARD_LEVEL_UP,"NIVEAU + !"
INTRO_SKIP,"Passer ?"
PAUSE_HEADER_TITLE,"En pause"
LOADOUT_EOTD_NO_MATCH,"Aucune correspondance"
LOADOUT_EOTD_ELEMENT,"Élément du jour"
LOADOUT_EOTD_MATCH,"Correspondance !"
GAME_MAGIC_ITEM_LEVEL,"Niveau {0}"
GAME_DISTANCE_BONUS,"{0}x Bonus de distance"
GAME_MAGIC_ITEM_BONUS,"Bonus {0}"
GAME_MAGIC_ITEM_SNEAK_PREVIEW,"Aperçu"
HIDEOUT_POPUP,"Repaire !"
GAME_NEW_HIGH_SCORE,"Nouveau record !"
AWARD_LEVEL_UP_GEMS,"Tu as trouvé {0} gemmes"
GAME_DIFFICULTY_UP,"Difficulté + !"
GOALS_NEW,"Nouv."
GOAL_COMPLETED_TEXT,"Terminé !"
TUTORIAL_TAP_TROLLS,"Touche les Trolls pour leur tirer dessus !"
TUTORIAL_SHOOT_ALL_TROLLS,"Abats tous les Trolls pour passer à la zone suivante !"
TUTORIAL_SLIDE,"Fais glisser ton doigt sur les Trolls..."
TUTORIAL_COINS,"Super ! Récupère les pièces !"
TUTORIAL_BIGGER_COMBOS,"Plus le combo est grand, plus tu gagnes de pièces et de points !"
TUTORIAL_TARGET_ALL_6,"Vise les six d'un coup pour le combo max !"
TUTORIAL_GREAT_COMBO,"Super combo ! Touche les pièces pour les collecter."
TUTORIAL_MAGIC_ITEM_UNLOCK,"Débloque d'autres objets magiques dans la collection !"
TUTORIAL_MAGIC_ITEM_COLLECT,"Touche l'objet magique pour le prendre !"
TUTORIAL_MAGIC_ITEM_USE,"Maintenant, touche l'objet magique pour l'utiliser !"
HEADER_NEW_HIGH_SCORE,"Nouveau record {0}"
TAB_LEADERBOARDS,"Classements"
TAB_CHALLENGES_NEW,"Nouv."
FOOTER_NO_GEMS_NAG,"Tu n'as pas assez de gemmes. Touche-moi pour aller à la Boutique des gemmes !"
FOOTER_NO_COINS_NAG,"Tu n'as pas assez de pièces. Touche-moi pour aller à la Boutique des pièces !"
FOOTER_LEVEL_NAG_SINGLE,"Il te faut {0} étoile de plus pour monter en niveau et gagner {1} gemmes."
FOOTER_LEVEL_NAG_PLURAL,"Il te faut {0} étoiles de plus pour monter en niveau et gagner {1} gemmes."
SD_SELECT_BUTTON,"CHOISIS !"
SD_UPGRADE_CONFIRM,"Débloquer {0} pour {1} pièces ?"
ZOOK_UPGRADE_DESCRIPTION,"Le Coffre apparaît plus souvent"
GHOST_ROASTER_UPGRADE_DESCRIPTION,"Le Sablier est utilisable 2x de suite"
PRISM_BREAK_UPGRADE_DESCRIPTION,"Sparx détruit 5 bombes de plus par utilisation"
DINO_RANG_UPGRADE_DESCRIPTION,"L'Enclume est utilisable 2x de suite"
FLAMESLINGER_UPGRADE_DESCRIPTION,"L'Épée pirate est utilisable 2x de suite"
ZAP_UPGRADE_DESCRIPTION,"Commence le voyage avec le Sablier"
WRECKING_BALL_UPGRADE_DESCRIPTION,"Le Sablier apparaît plus souvent"
DOUBLE_TROUBLE_UPGRADE_DESCRIPTION,"Sparx est utilisable 2x de suite"
L_SPYRO_UPGRADE_DESCRIPTION,"Atteins la zone 40 pour un bonus 40x supplémentaire"
DRILL_SERGEANT_UPGRADE_DESCRIPTION,"Commence le voyage avec le Coffre"
GEM_REFUND_TITLE,"Remboursement de gemmes !"
GAME_AREAS_CLEAR_SINGULAR,"Zone terminée"
GAME_AREAS_CLEARED_RECORD,"Record : {0}"
