Loc Tag,"German"
GOAL_USE_ANY_MAGIC_ITEM,"Benutze ein magisches Objekt {goal}-mal."
GOAL_USE_ANY_MAGIC_ITEM_ONE_RUN,"Benutze ein magisches Objekt {goal}-mal in einem Lauf."
GOAL_USE_SPECIFIC_MAGIC_ITEM,"Benutze das magische Objekt {magicItem}."
GOAL_USE_MIN_LEVEL_MAGIC_ITEM,"Benutze ein beliebiges magisches Objekt der Stufe {level} oder höher."
GOAL_GET_COMBOS,"Schaffe {goal} {combo}x-Kombos."
GOAL_GET_MAX_COMBOS,"Schaffe {goal} max. Kombos."
GOAL_GET_COMBOS_ONE_RUN,"Schaffe {goal} {combo}x-Kombos in einem Lauf."
GOAL_GET_MAX_COMBOS_ONE_RUN,"Schaffe {goal} max. Kombos in einem Lauf."
GOAL_GET_MIN_COMBOS,"Schaffe {goal} {combo}x oder höhere Kombos."
GOAL_GET_MIN_COMBOS_ONE_RUN,"Schaffe {goal} {combo}x oder höhere Kombos in einem Lauf."
GOAL_COLLECT_COINS,"Sammle {goal} Münzen."
GOAL_COLLECT_COINS_ONE_RUN,"Sammle {goal} Münzen in einem Lauf."
GOAL_TAP_TROLLS,"Triff {goal} Trolle durch Antippen."
GOAL_TAP_TROLLS_ONE_RUN,"Triff {goal} Trolle in einem Lauf durch Antippen."
GOAL_SHOOT_ONLY_TROLLS,"Triff in {goal} Gebieten in Folge nur Trolle."
GOAL_USE_ELEMENT_SKYLANDER,"Benutze einen {element}-Skylander."
GOAL_USE_SPECIFIC_SKYLANDER,"Benutze {skylander}."
GOAL_SHOOT_TROLLS_ELEMENT,"Triff {goal} Trolle mit einem {element}-Skylander."
GOAL_SHOOT_TROLLS_ELEMENT_ONE_RUN,"Triff {goal} Trolle in einem Lauf mit einem {element}-Skylander."
GOAL_CLEAR_AREAS_ELEMENT,"Räume {goal} Gebiete mit einem {element}-Skylander."
GOAL_CLEAR_AREAS_ELEMENT_ONE_RUN,"Räume {goal} Gebiete in einem Lauf mit einem {element}-Skylander."
GOAL_DESTROY_CRATES_ELEMENT,"Zerstöre {goal} Kisten mit einem {element}-Skylander."
GOAL_DESTROY_CRATES_ELEMENT_ONE_RUN,"Zerstöre {goal} Kisten in einem Lauf mit einem {element}-Skylander."
GOAL_DESTROY_BARRLES_ELEMENT,"Zerstöre {goal} Fässer mit einem {element}-Skylander."
GOAL_DESTROY_BARRELS_ELEMENT_ONE_RUN,"Zerstöre {goal} Fässer in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_BALLOONS_ELEMENT,"Bring {goal} Ballons mit einem {element}-Skylander zum Platzen."
GOAL_SHOOT_BALLOONS_ELEMENT_ONE_RUN,"Bring {goal} Ballons in einem Lauf mit einem {element}-Skylander zum Platzen."
GOAL_SHOOT_HATS_ELEMENT,"Triff {goal} Hüte mit einem {element}-Skylander."
GOAL_SHOOT_HATS_ELEMENT_ONE_RUN,"Triff {goal} Hüte in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_SHEEP_ELEMENT,"Triff {goal} Schafe mit einem {element}-Skylander."
GOAL_SHOOT_SHEEP_ELEMENT_ONE_RUN,"Triff {goal} Schafe in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_PROJECTILES_ELEMENT,"Triff {goal} Geschosse mit einem {element}-Skylander."
GOAL_SHOOT_PROJECTILES_ELEMENT_ONE_RUN,"Triff {goal} Geschosse in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_PRESENT_ELEMENT,"Triff {goal} Geschenke mit einem {element}-Skylander."
GOAL_SHOOT_PRESENT_ELEMENT_ONE_RUN,"Triff {goal} Geschenke in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_FLYING_TROLL_ELEMENT,"Triff {goal} fliegende Trolle mit einem {element}-Skylander."
GOAL_SHOOT_FLYING_TROLL_ELEMENT_ONE_RUN,"Triff {goal} fliegende Trolle in einem Lauf mit einem {element}-Skylander."
GOAL_SHOOT_VASES_ELEMENT,"Zerbrich {goal} Vasen mit einem {element}-Skylander."
GOAL_SHOOT_VASES_ELEMENT_ONE_RUN,"Zerbrich {goal} Vasen in einem Lauf mit einem {element}-Skylander."
GOAL_HIDEOUTS_ELEMENT,"Räume {goal} Verstecke mit einem {element}-Skylander."
GOAL_HIDEOUTS_ELEMENT_ONE_RUN,"Räume {goal} Verstecke in einem Lauf mit einem {element}-Skylander."
GOAL_COMBOS_ELEMENT,"Schaffe {goal} {combo}x-Kombos mit einem {element}-Skylander."
GOAL_MAX_COMBOS_ELEMENT,"Schaffe {goal} max. Kombos mit einem {element}-Skylander."
GOAL_COINS_ELEMENT,"Sammle {goal} Münzen mit einem {element}-Skylander."
GOAL_COINS_ELEMENT_ONE_RUN,"Sammle {goal} Münzen in einem Lauf mit einem {element}-Skylander."
GOAL_TAP_SHOOT_TROLL_ELEMENT,"Triff {goal} Trolle mit einem {element}-Skylander durch Antippen."
GOAL_TAP_SHOOT_TROLL_ELEMENT_ONE_RUN,"Triff {goal} Trolle in einem Lauf mit einem {element}-Skylander durch Antippen."
GOAL_SHOOT_TROLLS_SKYLANDER,"Triff {goal} Trolle mit {skylander}."
GOAL_SHOOT_TROLLS_SKYLANDER_ONE_RUN,"Triff {goal} Trolle in einem Lauf mit {skylander}."
GOAL_CLEAR_AEAS_SKYLANDER,"Räume {goal} Gebiete mit {skylander}."
GOAL_CLEAR_AREAS_SKYLANDER_ONE_RUN,"Räume {goal} Gebiete in einem Lauf mit {skylander}."
GOAL_CRATES_SKYLANDER,"Zerstöre {goal} Kisten mit {skylander}."
GOAL_CRATES_SKYLANDER_ONE_RUN,"Zerstöre {goal} Kisten in einem Lauf mit {skylander}."
GOAL_BARREL_SKYLANDER,"Zerstöre {goal} Fässer mit {skylander}."
GOAL_BARREL_SKYLANDER_ONE_RUN,"Zerstöre {goal} Fässer in einem Lauf mit {skylander}."
GOAL_POP_BALLOONS_SKYLANDER,"Bring {goal} Ballons mit {skylander} zum Platzen."
GOAL_POP_BALLOONS_SKYLANDER_ONE_RUN,"Bring {goal} Ballons in einem Lauf mit {skylander} zum Platzen."
GOAL_HATS_SKYLANDER,"Triff {goal} Hüte mit {skylander}."
GOAL_HATS_SKYLANDER_ONE_RUN,"Triff {goal} Hüte in einem Lauf mit {skylander}."
GOAL_SHEEP_SKYLANDER,"Triff {goal} Schafe mit {skylander}."
GOAL_SHEEP_SKYLANDER_ONE_RUN,"Triff {goal} Schafe in einem Lauf mit {skylander}."
GOAL_PROJECTILES_SKYLANDER,"Triff {goal} Geschosse mit {skylander}."
GOAL_PROJECTILES_SKYLANDER_ONE_RUN,"Triff {goal} Geschosse in einem Lauf mit {skylander}."
GOAL_PRESENTS_SKYLANDER,"Triff {goal} Geschenke mit {skylander}."
GOAL_PRESENTS_SKYLANDER_ONE_RUN,"Triff {goal} Geschenke in einem Lauf mit {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER,"Triff {goal} fliegende Trolle mit {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER_ONE_RUN,"Triff {goal} fliegende Trolle in einem Lauf mit {skylander}."
GOAL_VASES_SKYLANDER,"Zerbrich {goal} Vasen mit {skylander}."
GOAL_VASES_SKYLANDER_ONE_RUN,"Zerbrich {goal} Vasen in einem Lauf mit {skylander}."
GOAL_HIDEOUTS_SKYLANDER,"Räume {goal} Verstecke mit {skylander}."
GOAL_HIDEOUTS_SKYLANDER_ONE_RUN,"Räume {goal} Verstecke in einem Lauf mit {skylander}."
GOAL_COMBOS_SKYLANDER,"Schaffe {goal} {combo}x-Kombos mit {skylander}."
GOAL_COMBOS_SKYLANDER_ONE_RUN,"Schaffe {goal} max. Kombos mit {skylander}."
GOAL_COINS_SKYLANDER,"Sammle {goal} Münzen mit {skylander}."
GOAL_COINS_SKYLANDER_ONE_RUN,"Sammle {goal} Münzen in einem Lauf mit {skylander}."
GOAL_TAP_TROLLS_SKYLANDER,"Triff {goal} Trolle mit {skylander} durch Antippen."
GOAL_TAP_TROLLS_SKYLANDER_ONE_RUN,"Triff {goal} Trolle in einem Lauf mit {skylander} durch Antippen."
GOAL_EXPLOSIVE_BARRELS,"Zerstöre {goal} explosive Fässer."
GOAL_EXPLOSIVE_BARRELS_ONE_RUN,"Zerstöre {goal} explosive Fässer in einem Lauf."
GOAL_EXPLOSIVE_BARRELS_ELEMENT,"Zerstöre {goal} explosive Fässer mit einem {element}-Skylander."
GOAL_ELEMENTAL_COINS,"Sammle {goal} Elementarmünzen."
SHOWDOWN_NAME_TROLLPOCALYPSE,"Troll-pokalypse"
SHOWDOWN_NAME_PERFECT_RUN,"Der perfekte Lauf"
SHOWDOWN_NAME_HAT_HUSTLER,"Hütchenspieler"
SHOWDOWN_NAME_SPEEP_SNIPER,"Schafschütze"
SHOWDOWN_NAME_BOMB_SQUAD,"Bombenkommando"
SHOWDOWN_NAME_OH_SHINY,"Oooh! Glänzend!"
SHOWDOWN_NAME_FAVORITE_NUMBER,"Meine Lieblingszahl"
SHOWDOWN_NAME_THE_SLOG,"Harter Schlag"
SHOWDOWN_NAME_PARTY_POOPER,"Spaßbremse"
SHOWDOWN_NAME_COMBO_CRUNCH,"Kombo-Knacker"
SHOWDOWN_NAME_SHOT_SHOOTER,"Schuss-Schütze"
SHOWDOWN_NAME_MAGICIAN,"Magier"
SHOWDOWN_NAME_CAPT_COMBO,"Käpt'n Kombo"
SHOWDOWN_NAME_27_PROBLEMS,"27 Probleme"
SHOWDOWN_NAME_OUT_TO_PASTURE,"Bin grasen"
SHOWDOWN_NAME_SCROOGE,"Geizhals"
SHOWDOWN_NAME_PROTECT_THIS,"Beschütze das!"
SHOWDOWN_NAME_MAD_MAX,"Durchgeknallt"
SHOWDOWN_NAME_WIZARD_WACE,"Zauberer-Rennen"
SHOWDOWN_NAME_THE_DISTANCE,"Die Entfernung"
SHOWDOWN_NAME_WALK_THE_LINE,"Bleib anständig"
SHOWDOWN_NAME_BAD_NEWS,"Üble Nachrichten"
SHOWDOWN_NAME_SWORDLESS,"Schwertlos"
SHOWDOWN_NAME_PROFIT_PARTY,"Profit-Party"
SHOWDOWN_DESC_TROLLPOCALYPSE,"Triff die meisten Trolle insgesamt."
SHOWDOWN_DESC_PERFECT_RUN,"Mach die meisten Punkte in einem Lauf."
SHOWDOWN_DESC_HAT_HUSTLER,"Triff die meisten Hüte in 5 Minuten."
SHOWDOWN_DESC_SPEEP_SNIPER,"Schaff am schnellsten 2 Bonus-Zimmer."
SHOWDOWN_DESC_BOMB_SQUAD,"Zerstöre am schnellsten 20 Bomben."
SHOWDOWN_DESC_OH_SHINY,"Sammle die meisten Elementarmünzen."
SHOWDOWN_DESC_FAVORITE_NUMBER,"Beende einen Lauf mit einer Punktzahl um 123456."
SHOWDOWN_DESC_THE_SLOG,"Räume die meisten Gebiete."
SHOWDOWN_DESC_PARTY_POOPER,"Triff die meisten Ballons in 15 Minuten."
SHOWDOWN_DESC_COMBO_CRUNCH,"Sammle am schnellsten 100 Kombo-Münzen."
SHOWDOWN_DESC_SHOT_SHOOTER,"Zerstöre am schnellsten 50 Geschosse."
SHOWDOWN_DESC_MAGICIAN,"Mach in 15 Min. die meisten Punkte mit magischen Objekten."
SHOWDOWN_DESC_CAPT_COMBO,"Mach in 10 Min. die meisten max. Kombos."
SHOWDOWN_DESC_27_PROBLEMS,"Stirb am häufigsten in Gebiet 27."
SHOWDOWN_DESC_OUT_TO_PASTURE,"Triff die meisten Schafe in 10 Minuten."
SHOWDOWN_DESC_SCROOGE,"Sammle die meisten Münzen in einem Lauf."
SHOWDOWN_DESC_PROTECT_THIS,"Triff die meisten Beschützer-Trolle in 30 Minuten."
SHOWDOWN_DESC_MAD_MAX,"Mach die meisten max. Kombos in einem Lauf."
SHOWDOWN_DESC_WIZARD_WACE,"Triff die meisten Zauberer-Trolle."
SHOWDOWN_DESC_THE_DISTANCE,"Räume die meisten Gebiete in einem Lauf."
SHOWDOWN_DESC_WALK_THE_LINE,"Triff die meisten Geschosse, die dein Schiff getroffen haben."
SHOWDOWN_DESC_BAD_NEWS,"Räume die meisten Gebiete, bevor du ein Schaf triffst."
SHOWDOWN_DESC_SWORDLESS,"Schaffe mit "Geistschwert" den besten Durchgang."
SHOWDOWN_DESC_PROFIT_PARTY,"Hol die meisten Kombo-Münzen, dann triff einen Ballon."
SHOWDOWN_NOUN_TROLLS,"Trolle"
SHOWDOWN_NOUN_POINTS,"Punkte"
SHOWDOWN_NOUN_HATS,"Hüte"
SHOWDOWN_NOUN_SECONDS,"Sekunden"
SHOWDOWN_NOUN_COINS,"Münzen"
SHOWDOWN_NOUN_AREAS,"Gebiete"
SHOWDOWN_NOUN_BALLOONS,"Ballons"
SHOWDOWN_NOUN_COMBOS,"Kombos"
SHOWDOWN_NOUN_DEATHS,"Niederlagen"
SHOWDOWN_NOUN_SHEEP,"Schafe"
SHOWDOWN_NOUN_PROJECTILES,"Geschosse"
SHOWDOWN_MEDALEARNED_GOLD,"Gold-Medaille geholt!"
SHOWDOWN_MEDALEARNED_SILVER,"Silber-Medaille geholt!"
SHOWDOWN_MEDALEARNED_BRONZE,"Bronze-Medaille geholt!"
SHOWDOWN_DIDNT_BEAT_OLD_RACE_TIME,"{0} hat deinen Rekord von {1} nicht geschafft!"
SHOWDOWN_DETAILS_FRIENDS_TITLE,"Freunde"
SHOWDOWN_DETAILS_TAP_FRIENDS_TEXT,"Zum Senden einen Freund antippen"
SHOWDOWN_REWARDINFOHEADER,"Belohnungsinfo"
SHOWDOWN_STATE_COLLECT,"Sammle!"
SHOWDOWN_COLLECT_LARGEBUTTON,"Sammle"
SHOWDOWN_FRIEND_MESSAGE_TITLE,"Hallo, {0} ..."
STOREHUB_MAGIC_ITEMS,"Mag. Objekte"
STOREHUB_GEMS,"Steine"
STOREHUB_COINS,"Münzen"
STOREHUB_SKYLANDERS,"Sammlung"
COINSTORE_WHY,"Mit Münz-Packs kannst du deine magischen Objekte verbessern und mehr!"
GEMCONVERTER_TITLE,"Münzkauf mit Steinen"
GEMSTORE_LOADINGPRODUCTS,"Produkte laden ..."
GEMSTORE_WHY,"Steine schalten Skylander und magische Objekte frei."
GEMSTORE_MONEY,"Steine kosten echtes Geld."
GEMSTORE_GREAT_VALUE,"Toller Preis!"
GEMSTORE_BEST_VALUE,"BESTER Preis!"
GEMSTORE_TITLE,"Steine kaufen"
SKYLANDERSELECT_TITLE,"Skylander-Sammlung"
RATEAPPDIALOG_TEXT,"Das machst du gut! Wir freuen uns über deine Meinung. Bitte bewerte das Spiel!"
RATEAPPDIALOG_OK,"OK!"
RATEAPPDIALOG_CANCEL,"Später"
ACTIVATESELL_CANCEL,"Solo- Spiel"
ACTIVATESELL_OK,"Reg."
SD_BUY_CONFIRM,"{0} für {1} Steine freischalten?"
SD_UPGRADE_TITLE,"Spezialfähigkeit"
SD_REQUIREMENT_LEVEL,"Erfordert Stufe {0}"
SD_REQUIREMENT_MAGIC_ITEM,"Erfordert {0}"
SONIC_BOOM_UPGRADE_NAME,"Schallstiefel"
SONIC_BOOM_UPGRADE_DESCRIPTION,"Flügelschuhe 2x nacheinander möglich"
WHIRLWIND_UPGRADE_NAME,"Windbarriere"
WHIRLWIND_UPGRADE_DESCRIPTION,"Der Wind verlangsamt alle Geschosse"
LIGHTNING_ROD_UPGRADE_NAME,"Luftkrieger"
LIGHTNING_ROD_UPGRADE_DESCRIPTION,"Triff fliegende Trolle für Luft-Münzen"
WARNADO_UPGRADE_NAME,"Stiefel ahoi"
WARNADO_UPGRADE_DESCRIPTION,"Flugelschuhe tauchen haufiger auf"
STEALTH_ELF_UPGRADE_NAME,"Hyperaktiv"
STEALTH_ELF_UPGRADE_DESCRIPTION,"Schieße mit Super-Tempo!"
STUMP_SMASH_UPGRADE_NAME,"Kisten-Schlag"
STUMP_SMASH_UPGRADE_DESCRIPTION,"Zerschlagen bringt Punkte"
ZOOK_UPGRADE_NAME,"Schatzreise"
CAMO_UPGRADE_NAME,"Entzauberer"
CAMO_UPGRADE_DESCRIPTION,"Zauberer zu besiegen bringt Lebens-Münzen"
CHOP_CHOP_UPGRADE_NAME,"Phantom-Schwerter"
CHOP_CHOP_UPGRADE_DESCRIPTION,"{Magic Item} wird größer und schneller"
GHOST_ROASTER_UPGRADE_NAME,"Niederlagenzeit"
CYNDER_UPGRADE_NAME,"Spuk-Fässer"
CYNDER_UPGRADE_DESCRIPTION,"Auf Fässer zu schießen bringt einen Punkte-Bonus"
HEX_UPGRADE_NAME,"Wackel-Zauberer"
HEX_UPGRADE_DESCRIPTION,"Zauberern ist doppelt so lange schwindlig"
L_CHOP_CHOP_UPGRADE_NAME,"Bomben-Hacker"
L_CHOP_CHOP_UPGRADE_DESCRIPTION,"{Magic Item} schneidet durch Bomben & Schilde"
PRISM_BREAK_UPGRADE_NAME,"Sparx"
TERRAFIN_UPGRADE_NAME,"Reichtum"
TERRAFIN_UPGRADE_DESCRIPTION,"Erhalte Erd-Münzen für das Zerstören von Felsen"
BASH_UPGRADE_NAME,"Schlag von oben"
BASH_UPGRADE_DESCRIPTION,"Reise mit "{Magic Item}" starten"
DINO_RANG_UPGRADE_NAME,"Dino-Regen"
L_BASH_UPGRADE_NAME,"Max. Bombo"
L_BASH_UPGRADE_DESCRIPTION,"Max. Kombo zerstört alle Bomben im Bild"
IGNITOR_UPGRADE_NAME,"Arsenal-Ansammlung"
IGNITOR_UPGRADE_DESCRIPTION,"{Magic Item} taucht häufiger auf"
ERUPTOR_UPGRADE_NAME,"Heiße Flügel"
ERUPTOR_UPGRADE_DESCRIPTION,"Reise mit flugelschuhen starten"
FLAMESLINGER_UPGRADE_NAME,"Beidhändig"
SUNBURN_UPGRADE_NAME,"Gemein zum Grün"
SUNBURN_UPGRADE_DESCRIPTION,"Sprenge Bäume und Büsche für Feuer-Münzen"
GILL_GRUNT_UPGRADE_NAME,"Amboss-Anziehung"
GILL_GRUNT_UPGRADE_DESCRIPTION,"{Magic Item} entsteht häufiger"
ZAP_UPGRADE_NAME,"Langsamer Start"
SLAM_BAM_UPGRADE_NAME,"Schaf-Schlag"
SLAM_BAM_UPGRADE_DESCRIPTION,"Ein Schaf zu schlagen bringt Wasser-Münzen"
WHAM_SHELL_UPGRADE_NAME,"Rette ein paar Muscheln"
WHAM_SHELL_UPGRADE_DESCRIPTION,"Heilelixier-Münzenpreis ist reduziert"
SPYRO_UPGRADE_NAME,"Drachenpunkte"
SPYRO_UPGRADE_DESCRIPTION,"Starte die Reise mit einem 5x Entfernungsbonu"
VOODOOD_UPGRADE_NAME,"Schildmünzen"
VOODOOD_UPGRADE_DESCRIPTION,"Geschützte Trolle zu treffen bringt Magie-Münzen"
WRECKING_BALL_UPGRADE_NAME,"Tanz den Twist"
DOUBLE_TROUBLE_UPGRADE_NAME,"Doppel-Sparx"
DARK_SPYRO_UPGRADE_NAME,"Dunkle Punkte"
DARK_SPYRO_UPGRADE_DESCRIPTION,"Erreiche Gebiet 10 für einen 10x-Bonus"
L_SPYRO_UPGRADE_NAME,"Legendary-Punkte"
DROBOT_UPGRADE_NAME,"Roboterfinger"
DROBOT_UPGRADE_DESCRIPTION,"Schieße automatisch bei einer max. Kombo"
BOOMER_UPGRADE_NAME,"Fass-Explosion"
BOOMER_UPGRADE_DESCRIPTION,"Sprenge explosive Fässer für Technologie-Münzen"
TRIGGER_HAPPY_UPGRADE_NAME,"Goldener Amboss"
TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Der gewaltige Goldene Amboss ersetzt den Ambossregen."
DRILL_SERGEANT_UPGRADE_NAME,"Reicher Beginn"
L_TRIGGER_HAPPY_UPGRADE_NAME,"Goldener Amboss-Angriff"
L_TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Goldener Amboss plus häufigeres Erscheinen"
MAGICITEMSELECT_TITLE,"Mag. Objekt wählen"
MAGIC_ITEM_UPGRADE_WHY,"Mit magischen Objekte kannst du Trolle besiegen und erhältst Punkte-Boni. Schalte alle frei und verbessere sie."
MAGIC_ITEM_UNLOCK,"FREISCH."
MAGIC_ITEM_UNLOCK_CONFIRM,"{0} für {1} Steine freischalten?"
DIALOG_YES,"JA"
DIALOG_NO,"NEIN"
MAGIC_ITEM_BUTTON_UPGRADE,"Verbessern"
GEM_REFUND_MAGIC_ITEM,"Stein-Rückgabe! Verknüpfe dein magisches Objekt für {0} Steine!"
GEM_REFUND_SKYLANDER,"Stein-Rückgabe! Verknüpfe deinen Skylander für {0} Steine!"
DIALOG_OK,"OK!"
TOYLINK_TOUCH_HERE,"Hier berühren und Code eingeben"
TOYLINK_INSTRUCTIONS,"Gib den Netzkarten-Code für dein magisches Objekt ein!"
TOYLINK_ENTER_BUTTON,"OK"
TOYLINK_TIP_TEXT,"Originale Netzkarte verloren? Du kannst sie über das Skylanders-Portal wiederherstellen!
Weitere Infos findest du im "Hilfe"-Bildschirm."
TOYLINK_ERROR_NO_TEXT_ENTERED,"Bitte gib den Code von deiner Netzcode-Karte ein."
TOYLINK_ERROR_NOT_ONLINE,"Keine Internet-Verbindung möglich. Bitte stelle sicher, dass du online bist."
TOYLINK_ERROR_BUTTON_RETRY,"Nochmal"
TOYLINK_ERROR_INVALID_CODE,"Dieser Code scheint nicht gültig zu sein."
TOYLINK_ERROR_WRONG_TOY,"Dieser Code ist nicht '{0}' zugewiesen."
GAME_AREAS_CLEAR_PLURAL,"geräumt"
BONUS_OKAY,"Okay!"
BONUS_NOT_BAD,"Nicht schlecht!"
BONUS_ALMOST,"Fast!"
BONUS_SO_CLOSE,"So dicht dran!"
BONUS_PERFECT,"Perfekt!"
PAUSE_QUIT,"Ende"
PAUSE_CONTINUE,"Weiter"
PAUSE_GOALS_SUBTEXT,"Deine aktuellen Ziele"
PAUSE_QUIT_CONFIRM,"Diese Reise beenden?"
GAME_OVER,"Game Over"
GAME_FINAL_SCORE,"Letzte Punkte"
GAME_HIGH_SCORE,"Highscore"
AWARD_LEVEL_UP,"AUFSTIEG!"
INTRO_SKIP,"Überspringen?"
PAUSE_HEADER_TITLE,"Pause"
LOADOUT_EOTD_NO_MATCH,"Kein Treffer"
LOADOUT_EOTD_ELEMENT,"Element des Tages"
LOADOUT_EOTD_MATCH,"Treffer!"
GAME_MAGIC_ITEM_LEVEL,"Stufe {0}"
GAME_DISTANCE_BONUS,"{0} Entfernungsbonus"
GAME_MAGIC_ITEM_BONUS,"Bonus {0}"
GAME_MAGIC_ITEM_SNEAK_PREVIEW,"Vorschau"
HIDEOUT_POPUP,"Versteck!"
GAME_NEW_HIGH_SCORE,"Neuer Highscore!"
AWARD_LEVEL_UP_GEMS,"{0} Edelsteine"
GAME_DIFFICULTY_UP,"Schwieriger!"
GOALS_NEW,"Neu!"
GOAL_COMPLETED_TEXT,"Abgeschlossen!"
TUTORIAL_TAP_TROLLS,"Berühre die Trolle, um sie zu treffen!"
TUTORIAL_SHOOT_ALL_TROLLS,"Triff alle Trolle, um ins nächste Gebiet zu gelangen!"
TUTORIAL_SLIDE,"Fahre jetzt mit dem Finger über die Trolle ..."
TUTORIAL_COINS,"Toll! Sammle die Münzen ein!"
TUTORIAL_BIGGER_COMBOS,"Größere Kombos bedeuten mehr Münzen und mehr Punkte!"
TUTORIAL_TARGET_ALL_6,"Visiere alle sechs für eine MAX. Kombo an!"
TUTORIAL_GREAT_COMBO,"Tolle Kombo! Berühre die Münzen zum Einsammeln."
TUTORIAL_MAGIC_ITEM_UNLOCK,"Schalte in der Sammlung mehr magische Objekte frei!"
TUTORIAL_MAGIC_ITEM_COLLECT,"Berühre das magische Objekt zum Einsammeln."
TUTORIAL_MAGIC_ITEM_USE,"Berühre nun das magische Objekt zum Benutzen!"
HEADER_NEW_HIGH_SCORE,"Neuer Highscore {0}"
TAB_LEADERBOARDS,"Bestenlisten"
TAB_CHALLENGES_NEW,"NEU!"
FOOTER_NO_GEMS_NAG,"Du hast nicht genug Steine. Berühre hier, um zum Edelsteinladen zu gehen!"
FOOTER_NO_COINS_NAG,"Du hast nicht genug Münzen. Berühre hier, um zum Münzladen zu gehen!"
FOOTER_LEVEL_NAG_SINGLE,"Noch {0} Stern, um aufzusteigen und {1} Steine zu bekommen."
FOOTER_LEVEL_NAG_PLURAL,"Noch {0} Sterne, um aufzusteigen und {1} Steine zu bekommen."
SD_SELECT_BUTTON,"WÄHLEN!"
