Loc Tag,"English"
GOAL_POP_BALLOONS_SKYLANDER_ONE_RUN,"Pop {goal} balloons in one run with {skylander}."
GOAL_HATS_SKYLANDER,"Shoot {goal} hats with {skylander}."
GOAL_HATS_SKYLANDER_ONE_RUN,"Shoot {goal} hats in one run with {skylander}."
GOAL_SHEEP_SKYLANDER,"Shoot {goal} sheep with {skylander}."
GOAL_SHEEP_SKYLANDER_ONE_RUN,"Shoot {goal} sheep in one run with {skylander}."
GOAL_PROJECTILES_SKYLANDER,"Shoot {goal} projectiles with {skylander}."
GOAL_PROJECTILES_SKYLANDER_ONE_RUN,"Shoot {goal} projectiles in one run with {skylander}."
GOAL_PRESENTS_SKYLANDER,"Shoot {goal} presents with {skylander}."
GOAL_PRESENTS_SKYLANDER_ONE_RUN,"Shoot {goal} presents in one run with {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER,"Shoot {goal} flying trolls with {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER_ONE_RUN,"Shoot {goal} flying trolls in one run with {skylander}."
GOAL_VASES_SKYLANDER,"Break {goal} vases with {skylander}."
GOAL_VASES_SKYLANDER_ONE_RUN,"Break {goal} vases in one run with {skylander}."
GOAL_HIDEOUTS_SKYLANDER,"Clear {goal} hideouts with {skylander}."
GOAL_HIDEOUTS_SKYLANDER_ONE_RUN,"Clear {goal} hideouts in one run with {skylander}."
GOAL_COMBOS_SKYLANDER,"Get {goal} {combo}x Combos with {skylander}."
GOAL_COMBOS_SKYLANDER_ONE_RUN,"Get {goal} Max Combos with {skylander}."
GOAL_COINS_SKYLANDER,"Collect {goal} coins with {skylander}."
GOAL_COINS_SKYLANDER_ONE_RUN,"Collect {goal} coins in one run with {skylander}."
GOAL_TAP_TROLLS_SKYLANDER,"Tap-Shoot {goal} trolls with {skylander}."
GOAL_TAP_TROLLS_SKYLANDER_ONE_RUN,"Tap-Shoot {goal} trolls in one run with {skylander}."
GOAL_EXPLOSIVE_BARRELS,"Destroy {goal} explosive barrels."
GOAL_EXPLOSIVE_BARRELS_ONE_RUN,"Destroy {goal} explosive barrels in one run."
GOAL_EXPLOSIVE_BARRELS_ELEMENT,"Destroy {goal} explosive barrels with a {element} Skylander."
GOAL_ELEMENTAL_COINS,"Collect {goal} elemental coins."
SHOWDOWN_NAME_TROLLPOCALYPSE,"Troll-pocalypse"
SHOWDOWN_NAME_PERFECT_RUN,"The Perfect Run"
SHOWDOWN_NAME_HAT_HUSTLER,"Hat Hustler"
SHOWDOWN_NAME_SPEEP_SNIPER,"Sheep Sniper"
SHOWDOWN_NAME_BOMB_SQUAD,"Bomb Squad"
SHOWDOWN_NAME_OH_SHINY,"Oooh! Shiny!"
SHOWDOWN_NAME_FAVORITE_NUMBER,"My Favorite Number"
SHOWDOWN_NAME_THE_SLOG,"The Slog"
SHOWDOWN_NAME_PARTY_POOPER,"Party Pooper"
SHOWDOWN_NAME_COMBO_CRUNCH,"Combo Crunch"
SHOWDOWN_NAME_SHOT_SHOOTER,"Shot Shooter"
SHOWDOWN_NAME_MAGICIAN,"Magician"
SHOWDOWN_NAME_CAPT_COMBO,"Captain Combo"
SHOWDOWN_NAME_27_PROBLEMS,"27 Problems"
SHOWDOWN_NAME_OUT_TO_PASTURE,"Out to Pasture"
SHOWDOWN_NAME_SCROOGE,"Scrooge"
SHOWDOWN_NAME_PROTECT_THIS,"Protect This!"
SHOWDOWN_NAME_MAD_MAX,"Mad Max"
SHOWDOWN_NAME_WIZARD_WACE,"Wizard Wace"
SHOWDOWN_NAME_THE_DISTANCE,"The Distance"
SHOWDOWN_NAME_WALK_THE_LINE,"Walk the Line"
SHOWDOWN_NAME_BAD_NEWS,"Baaaad News"
SHOWDOWN_NAME_SWORDLESS,"Swordless"
SHOWDOWN_NAME_PROFIT_PARTY,"Profit Party"
SHOWDOWN_DESC_TROLLPOCALYPSE,"Shoot the most trolls total."
SHOWDOWN_DESC_PERFECT_RUN,"Score the most points in one run."
SHOWDOWN_DESC_HAT_HUSTLER,"Shoot the most hats in 5 minutes."
SHOWDOWN_DESC_SPEEP_SNIPER,"Perfect 2 bonus rooms the fastest."
SHOWDOWN_DESC_BOMB_SQUAD,"Destroy 20 bombs the fastest."
SHOWDOWN_DESC_OH_SHINY,"Collect the most Elemental Coins."
SHOWDOWN_DESC_FAVORITE_NUMBER,"End a run with a score closest to 123456."
SHOWDOWN_DESC_THE_SLOG,"Clear the most areas."
SHOWDOWN_DESC_PARTY_POOPER,"Shoot the most balloons in 15 minutes."
SHOWDOWN_DESC_COMBO_CRUNCH,"Collect 100 combo coins the fastest."
SHOWDOWN_DESC_SHOT_SHOOTER,"Destroy 50 projectiles the fastest."
SHOWDOWN_DESC_MAGICIAN,"Get the most points using Magic Items in 15 min."
SHOWDOWN_DESC_CAPT_COMBO,"Get the most Max Combos in 10 minutes."
SHOWDOWN_DESC_27_PROBLEMS,"Die the most times in area 27."
SHOWDOWN_DESC_OUT_TO_PASTURE,"Shoot the most sheep in 10 minutes."
SHOWDOWN_DESC_SCROOGE,"Collect the most coins in one run."
SHOWDOWN_DESC_PROTECT_THIS,"Shoot the most Protector Trolls in 30 minutes."
SHOWDOWN_DESC_MAD_MAX,"Get the most Max Combos in one run."
SHOWDOWN_DESC_WIZARD_WACE,"Shoot the most Wizard Trolls."
SHOWDOWN_DESC_THE_DISTANCE,"Clear the most areas in one run."
SHOWDOWN_DESC_WALK_THE_LINE,"Shoot the most projectiles that have hit your ship."
SHOWDOWN_DESC_BAD_NEWS,"Clear the most areas before shooting a sheep."
SHOWDOWN_DESC_SWORDLESS,"Score the best run before using Ghost Swords."
SHOWDOWN_DESC_PROFIT_PARTY,"Get the most combo coins before shooting a balloon."
SHOWDOWN_NOUN_TROLLS,"Trolls"
SHOWDOWN_NOUN_POINTS,"Points"
SHOWDOWN_NOUN_HATS,"Hats"
SHOWDOWN_NOUN_SECONDS,"Seconds"
SHOWDOWN_NOUN_COINS,"Coins"
SHOWDOWN_NOUN_AREAS,"Areas"
SHOWDOWN_NOUN_BALLOONS,"Balloons"
SHOWDOWN_NOUN_COMBOS,"Combos"
SHOWDOWN_NOUN_DEATHS,"Deaths"
SHOWDOWN_NOUN_SHEEP,"Sheep"
SHOWDOWN_NOUN_PROJECTILES,"Projectiles"
SHOWDOWN_MEDALEARNED_GOLD,"Gold Medal Earned!"
SHOWDOWN_MEDALEARNED_SILVER,"Silver Medal Earned!"
SHOWDOWN_MEDALEARNED_BRONZE,"Bronze Medal Earned!"
SHOWDOWN_DIDNT_BEAT_OLD_RACE_TIME,"{0} didn't beat your previous best of {1}!"
SHOWDOWN_DETAILS_FRIENDS_TITLE,"Friends"
SHOWDOWN_DETAILS_TAP_FRIENDS_TEXT,"Tap A Friend To Send A Message"
SHOWDOWN_REWARDINFOHEADER,"Reward Info"
SHOWDOWN_STATE_COLLECT,"Collect!"
SHOWDOWN_COLLECT_LARGEBUTTON,"Collect"
SHOWDOWN_FRIEND_MESSAGE_TITLE,"Dearest {0}..."
STOREHUB_MAGIC_ITEMS,"MAGIC ITEMS"
STOREHUB_GEMS,"GEMS"
STOREHUB_COINS,"COINS"
STOREHUB_SKYLANDERS,"SKYLANDERS"
COINSTORE_WHY,"Buy coin packs to upgrade the strength of your Magic Items and more!"
GEMCONVERTER_TITLE,"Buy Coins with Gems"
GEMSTORE_LOADINGPRODUCTS,"Loading Products"
GEMSTORE_WHY,"Gems Unlock Skylanders and Magic Items."
GEMSTORE_MONEY,"Buying Gems costs real money."
GEMSTORE_GREAT_VALUE,"Great Value!"
GEMSTORE_BEST_VALUE,"BEST Value!"
GEMSTORE_TITLE,"Buy Gems"
SKYLANDERSELECT_TITLE,"Skylander Collection"
RATEAPPDIALOG_TEXT,"You're doing great! We would love to hear your feedback. Please rate the game!"
RATEAPPDIALOG_OK,"OK!"
RATEAPPDIALOG_CANCEL,"Later"
ACTIVATESELL_CANCEL,"Play Alone"
ACTIVATESELL_OK,"Sign Up"
SD_BUY_CONFIRM,"Unlock {0} for {1} Gems?"
SD_UPGRADE_TITLE,"Special Ability"
SD_REQUIREMENT_LEVEL,"REQUIRES LEVEL {0}"
SD_REQUIREMENT_MAGIC_ITEM,"REQUIRES {0}"
SONIC_BOOM_UPGRADE_NAME,"Sonic Boots"
SONIC_BOOM_UPGRADE_DESCRIPTION,"Winged Boots work twice in a row"
WHIRLWIND_UPGRADE_NAME,"Wind Barrier"
WHIRLWIND_UPGRADE_DESCRIPTION,"The power of wind slows all projectiles"
LIGHTNING_ROD_UPGRADE_NAME,"Air Warrior"
LIGHTNING_ROD_UPGRADE_DESCRIPTION,"Shoot Flying Trolls to get Air Coins"
WARNADO_UPGRADE_NAME,"Boots Ahoy"
WARNADO_UPGRADE_DESCRIPTION,"Winged Boots appears more frequently"
STEALTH_ELF_UPGRADE_NAME,"Hyperactive"
STEALTH_ELF_UPGRADE_DESCRIPTION,"Shoot with super speed!"
STUMP_SMASH_UPGRADE_NAME,"Crate Smash"
STUMP_SMASH_UPGRADE_DESCRIPTION,"Smash crates to earn extra points"
ZOOK_UPGRADE_NAME,"Treasure Trip"
CAMO_UPGRADE_NAME,"Disenchanter"
CAMO_UPGRADE_DESCRIPTION,"Get Life Coins for destroying Wizards"
CHOP_CHOP_UPGRADE_NAME,"Phantom Swords"
CHOP_CHOP_UPGRADE_DESCRIPTION,"Ghost Swords become larger and faster"
GHOST_ROASTER_UPGRADE_NAME,"Dead Time"
CYNDER_UPGRADE_NAME,"Haunted Barrels"
CYNDER_UPGRADE_DESCRIPTION,"Shooting barrels earns an extra score bonus"
HEX_UPGRADE_NAME,"Wizard Wiggler"
HEX_UPGRADE_DESCRIPTION,"Wizards stay dizzy for twice as long"
L_CHOP_CHOP_UPGRADE_NAME,"Bomb Chopper"
L_CHOP_CHOP_UPGRADE_DESCRIPTION,"Ghost Swords cuts through bombs & shields"
PRISM_BREAK_UPGRADE_NAME,"Sparxly"
TERRAFIN_UPGRADE_NAME,"Paydirt"
TERRAFIN_UPGRADE_DESCRIPTION,"Get Earth Coins for destroying rocks"
BASH_UPGRADE_NAME,"Bash From Above"
BASH_UPGRADE_DESCRIPTION,"Start voyage with Anvil Rain"
DINO_RANG_UPGRADE_NAME,"Dino-Rain"
L_BASH_UPGRADE_NAME,"Max Bombo"
L_BASH_UPGRADE_DESCRIPTION,"Max combo destroys all bombs on screen"
IGNITOR_UPGRADE_NAME,"Arsenal Accumulation"
IGNITOR_UPGRADE_DESCRIPTION,"Ghost Swords appear more frequently"
ERUPTOR_UPGRADE_NAME,"Hot Wings"
ERUPTOR_UPGRADE_DESCRIPTION,"Start your voyage with Winged Boots"
FLAMESLINGER_UPGRADE_NAME,"Dual Wielding"
SUNBURN_UPGRADE_NAME,"Mean to Green"
SUNBURN_UPGRADE_DESCRIPTION,"Blast trees and bushes for Fire Coins"
GILL_GRUNT_UPGRADE_NAME,"Anvil Affinity"
GILL_GRUNT_UPGRADE_DESCRIPTION,"Anvil Rain spawns more often"
ZAP_UPGRADE_NAME,"Slow Start"
SLAM_BAM_UPGRADE_NAME,"Sheep Slam"
SLAM_BAM_UPGRADE_DESCRIPTION,"Slamming a sheep earns Water Coins"
WHAM_SHELL_UPGRADE_NAME,"Save some clams"
WHAM_SHELL_UPGRADE_DESCRIPTION,"Healing Elixir coin cost is reduced"
SPYRO_UPGRADE_NAME,"Dragon Score"
SPYRO_UPGRADE_DESCRIPTION,"Start voyage with a 5x distance bonus"
VOODOOD_UPGRADE_NAME,"Shield Spender"
VOODOOD_UPGRADE_DESCRIPTION,"Shooting shielded trolls earns Magic Coins"
WRECKING_BALL_UPGRADE_NAME,"Do The Twist"
DOUBLE_TROUBLE_UPGRADE_NAME,"Double Sparx"
DARK_SPYRO_UPGRADE_NAME,"Dark Score"
DARK_SPYRO_UPGRADE_DESCRIPTION,"Reach area 10 for an additional 10x bonus"
L_SPYRO_UPGRADE_NAME,"Legendary Score"
DROBOT_UPGRADE_NAME,"Robot Finger"
DROBOT_UPGRADE_DESCRIPTION,"Shoot automatically when reaching Max Combo"
BOOMER_UPGRADE_NAME,"Barrel Boom"
BOOMER_UPGRADE_DESCRIPTION,"Blasting explosive barrels earns Tech Coins"
TRIGGER_HAPPY_UPGRADE_NAME,"Golden Anvil"
TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Anvil Rain is replaced with the massive Golden Anvil."
DRILL_SERGEANT_UPGRADE_NAME,"Rich Start"
L_TRIGGER_HAPPY_UPGRADE_NAME,"Golden Anvil Assault"
L_TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Golden Anvil plus more frequent appearance"
MAGICITEMSELECT_TITLE,"Pick A Magic Item"
MAGIC_ITEM_UPGRADE_WHY,"Magic Items help you kick troll butt and give you score bonuses. Unlock and upgrade them all!"
MAGIC_ITEM_UNLOCK,"UNLOCK"
MAGIC_ITEM_UNLOCK_CONFIRM,"Unlock {0} for {1} gems?"
DIALOG_YES,"YES"
DIALOG_NO,"NO"
MAGIC_ITEM_BUTTON_UPGRADE,"Upgrade:"
GEM_REFUND_MAGIC_ITEM,"Link your Magic Item and get back {0} Gems!"
GEM_REFUND_SKYLANDER,"Link your Skylander and get back {0} Gems!"
DIALOG_OK,"OK!"
TOYLINK_TOUCH_HERE,"Touch here to enter your code"
TOYLINK_INSTRUCTIONS,"Enter your Web Card Code to unlock your Magic Item!"
TOYLINK_ENTER_BUTTON,"Enter"
TOYLINK_TIP_TEXT,"If you've lost your original Web Card, you can recover it using your Skylanders Portal!
See the "Get Help" screen for details"
TOYLINK_ERROR_NO_TEXT_ENTERED,"Please enter the code from your web code card."
TOYLINK_ERROR_NOT_ONLINE,"Could not connect to the internet. Please verify you are online."
TOYLINK_ERROR_BUTTON_RETRY,"Retry"
TOYLINK_ERROR_INVALID_CODE,"This code does not appear to be valid."
TOYLINK_ERROR_WRONG_TOY,"That code is not associated with '{0}'."
GAME_AREAS_CLEAR_PLURAL,"Areas Cleared"
BONUS_OKAY,"Okay!"
BONUS_NOT_BAD,"Not Bad!"
BONUS_ALMOST,"Almost!"
BONUS_SO_CLOSE,"So Close!"
BONUS_PERFECT,"Perfect!"
PAUSE_QUIT,"QUIT"
PAUSE_CONTINUE,"CONTINUE"
PAUSE_GOALS_SUBTEXT,"Your Current Goals"
PAUSE_QUIT_CONFIRM,"End this voyage?"
GAME_OVER,"Game Over!"
GAME_FINAL_SCORE,"Final Score"
GAME_HIGH_SCORE,"High Score"
AWARD_LEVEL_UP,"LEVEL UP!"
INTRO_SKIP,"Skip?"
PAUSE_HEADER_TITLE,"Paused"
LOADOUT_EOTD_NO_MATCH,"No Match"
LOADOUT_EOTD_ELEMENT,"Element of the Day"
LOADOUT_EOTD_MATCH,"Match!"
GAME_MAGIC_ITEM_LEVEL,"Level {0}"
GAME_DISTANCE_BONUS,"{0}x Distance Bonus"
GAME_MAGIC_ITEM_BONUS,"{0}x Bonus"
GAME_MAGIC_ITEM_SNEAK_PREVIEW,"Sneak Preview"
HIDEOUT_POPUP,"HIDEOUT!"
GAME_NEW_HIGH_SCORE,"NEW HIGH SCORE!"
AWARD_LEVEL_UP_GEMS,"You got {0} Gems"
GAME_DIFFICULTY_UP,"Difficulty Up!"
GOALS_NEW,"New!"
GOAL_COMPLETED_TEXT,"Complete!"
TUTORIAL_TAP_TROLLS,"Tap the Trolls to shoot them!"
TUTORIAL_SHOOT_ALL_TROLLS,"Shoot all the trolls to move to the next area!"
TUTORIAL_SLIDE,"Now slide your finger across the trolls..."
TUTORIAL_COINS,"Nice! Collect the coins!"
TUTORIAL_BIGGER_COMBOS,"Bigger combos give more coins and higher scores!"
TUTORIAL_TARGET_ALL_6,"Target all six at once for MAX combo!"
TUTORIAL_GREAT_COMBO,"Great Combo! Touch the coins to collect them."
TUTORIAL_MAGIC_ITEM_UNLOCK,"Unlock more Magic Items in the Collection!"
TUTORIAL_MAGIC_ITEM_COLLECT,"Touch the Magic Item to collect it!"
TUTORIAL_MAGIC_ITEM_USE,"Now touch the Magic Item to use it!"
HEADER_NEW_HIGH_SCORE,"New High Score {0}"
TAB_LEADERBOARDS,"Leaderboards"
TAB_CHALLENGES_NEW,"NEW!"
FOOTER_NO_GEMS_NAG,"You don't have enough Gems for that. Tap me to go to the Gem Store!"
FOOTER_NO_COINS_NAG,"You don't have enough Coins for that. Tap me to go to the Coin Store!"
FOOTER_LEVEL_NAG_SINGLE,"You need {0} more star to Level Up and get {1} gems."
FOOTER_LEVEL_NAG_PLURAL,"You need {0} more stars to Level Up and get {1} gems."
SD_SELECT_BUTTON,"SELECT!"
SD_UPGRADE_CONFIRM,"Unlock {0} for {1} coins?"
ZOOK_UPGRADE_DESCRIPTION,"Hidden Treasure appears more frequently"
GHOST_ROASTER_UPGRADE_DESCRIPTION,"Time Twister works twice in a row"
PRISM_BREAK_UPGRADE_DESCRIPTION,"Sparx destroys 5 more bombs per use"
DINO_RANG_UPGRADE_DESCRIPTION,"Anvil Rain works twice in a row"
FLAMESLINGER_UPGRADE_DESCRIPTION,"Ghost Swords works twice in a row"
ZAP_UPGRADE_DESCRIPTION,"Start voyage with Time Twister"
WRECKING_BALL_UPGRADE_DESCRIPTION,"Time Twister spawns more frequently"
DOUBLE_TROUBLE_UPGRADE_DESCRIPTION,"Sparx works twice in a row"
L_SPYRO_UPGRADE_DESCRIPTION,"Reach area 40 for an additional 40x bonus"
DRILL_SERGEANT_UPGRADE_DESCRIPTION,"Start voyage with Hidden Treasure"
GEM_REFUND_TITLE,"Gem Refund!"
GAME_AREAS_CLEAR_SINGULAR,"Area Cleared"
GAME_AREAS_CLEARED_RECORD,"Record: {0}"
BONUS_POOR,"Poor"
LOADOUT_EOTD_COIN_BONUS,"Coin Bonus!"
GAME_CONTINUE,"Continue?"
GOAL_REMAINING_TEXT,"to go."
AWARD_COINS_EOTD,"Element of the Day"
AWARD_COINS_MATCH,"MATCH"
AWARD_COINS_SKYLANDERS_PLURAL,"{0} Skylanders"
AWARD_COINS_SKYLANDERS_SINGLE,"{0} Skylander"
AWARD_GEMS_SINGLE,"You Found A Gem"
AWARD_GEMS_PLURAL,"You Found {0} Gems"
TAB_SHOWDOWNS,"Showdowns"
SHOWDOWN_MEDAL_AWARD_HEADER,"SHOWDOWN  MEDAL  AWARDED"
SHOWDOWN_ADD_FRIENDS_HELP_OPEN,"Hit this button to add ACTIVATE or Facebook friends.

Remember, you get {0} coins for each friend you've defeated when the Showdown closes in {1}!"
SHOWDOWN_ADD_FRIENDS_HELP_CLOSED,"Hit this button to add ACTIVATE or Facebook friends to play Showdowns with you"
SHOWDOWN_FRIENDS_DEFEATED,"{0} Friends Defeated"
SHOWDOWN_STATE_AWARDED,"Awarded"
SHOWDOWN_STATE_UPDATING,"Updating"
SHOWDOWN_STATE_CLOSED,"Closed"
SHOWDOWN_LEADERBOARD_NO_SCORE,"No Score"
SHOWDOWN_LIST_REFRESHING,"Refreshing Showdowns"
SHOWDOWN_LIST_NO_SHOWDOWNS_JOINED,"No Showdowns Joined"
SHOWDOWN_LIST_NO_SHOWDOWNS_FOUND,"No Showdowns Currently Available"
SHOWDOWN_CHAMPION,"Champion:
{0}"
SHOWDOWN_X_OF_Y_FRIENDS,"#{0} out of {1} Friends"
SHOWDOWN_FRIEND_PLAYING_SINGLE,"{0} Friend Playing"
SHOWDOWN_FRIEND_PLAYING_PLURAL,"{0} Friends Playing"
SHOWDOWN_FRIEND_PLAYED_SINGLE,"{0} Friend Played"
