Loc Tag,"Italian"
GOAL_CRATES_SKYLANDER,"Distruggi {goal} casse con {skylander}."
GOAL_CRATES_SKYLANDER_ONE_RUN,"Distruggi {goal} casse di seguito con {skylander}."
GOAL_BARREL_SKYLANDER,"Distruggi {goal} barili con {skylander}."
GOAL_BARREL_SKYLANDER_ONE_RUN,"Distruggi {goal} barili di seguito con {skylander}."
GOAL_POP_BALLOONS_SKYLANDER,"Buca {goal} palloncini con {skylander}."
GOAL_POP_BALLOONS_SKYLANDER_ONE_RUN,"Buca {goal} palloncini di seguito con {skylander}."
GOAL_HATS_SKYLANDER,"Centra {goal} cappelli con {skylander}."
GOAL_HATS_SKYLANDER_ONE_RUN,"Centra {goal} cappelli di seguito con {skylander}."
GOAL_SHEEP_SKYLANDER,"Centra {goal} pecore con {skylander}."
GOAL_SHEEP_SKYLANDER_ONE_RUN,"Centra {goal} pecore di seguito con {skylander}."
GOAL_PROJECTILES_SKYLANDER,"Spara {goal} proiettili con {skylander}."
GOAL_PROJECTILES_SKYLANDER_ONE_RUN,"Spara {goal} proiettili di seguito con {skylander}."
GOAL_PRESENTS_SKYLANDER,"Centra {goal} regali con {skylander}."
GOAL_PRESENTS_SKYLANDER_ONE_RUN,"Centra {goal} regali di seguito con {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER,"Centra {goal} troll volanti con {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER_ONE_RUN,"Centra {goal} troll volanti di seguito con {skylander}."
GOAL_VASES_SKYLANDER,"Rompi {goal} vasi con {skylander}."
GOAL_VASES_SKYLANDER_ONE_RUN,"Rompi {goal} vasi di seguito con {skylander}."
GOAL_HIDEOUTS_SKYLANDER,"Libera {goal} tane con {skylander}."
GOAL_HIDEOUTS_SKYLANDER_ONE_RUN,"Libera {goal} tane di seguito con {skylander}."
GOAL_COMBOS_SKYLANDER,"Esegui {goal} combo {combo}x con {skylander}."
GOAL_COMBOS_SKYLANDER_ONE_RUN,"Esegui {goal} combo Max con {skylander}."
GOAL_COINS_SKYLANDER,"Raccogli {goal} monete con {skylander}."
GOAL_COINS_SKYLANDER_ONE_RUN,"Raccogli {goal} monete di seguito con {skylander}."
GOAL_TAP_TROLLS_SKYLANDER,"Tocca {goal} troll con {skylander}."
GOAL_TAP_TROLLS_SKYLANDER_ONE_RUN,"Tocca {goal} troll di seguito con {skylander}."
GOAL_EXPLOSIVE_BARRELS,"Distruggi {goal} barili esplosivi."
GOAL_EXPLOSIVE_BARRELS_ONE_RUN,"Distruggi {goal} barili esplosivi di seguito."
GOAL_EXPLOSIVE_BARRELS_ELEMENT,"Distruggi {goal} barili esplosivi con uno Skylander {element}."
GOAL_ELEMENTAL_COINS,"Raccogli {goal} monete elementali."
SHOWDOWN_NAME_TROLLPOCALYPSE,"Terrore dei troll"
SHOWDOWN_NAME_PERFECT_RUN,"Serie perfetta"
SHOWDOWN_NAME_HAT_HUSTLER,"Bucacappelli"
SHOWDOWN_NAME_SPEEP_SNIPER,"Ammazzapecore"
SHOWDOWN_NAME_BOMB_SQUAD,"Artificiere"
SHOWDOWN_NAME_OH_SHINY,"Oh come brilla!"
SHOWDOWN_NAME_FAVORITE_NUMBER,"Il numero perfetto"
SHOWDOWN_NAME_THE_SLOG,"Faticaccia"
SHOWDOWN_NAME_PARTY_POOPER,"Guastafeste"
SHOWDOWN_NAME_COMBO_CRUNCH,"Combonator"
SHOWDOWN_NAME_SHOT_SHOOTER,"Colpo su colpo"
SHOWDOWN_NAME_MAGICIAN,"Mago"
SHOWDOWN_NAME_CAPT_COMBO,"Capitan Combo"
SHOWDOWN_NAME_27_PROBLEMS,"27 problemi"
SHOWDOWN_NAME_OUT_TO_PASTURE,"Al pascolo"
SHOWDOWN_NAME_SCROOGE,"Arraffone"
SHOWDOWN_NAME_PROTECT_THIS,"Proteggiti ora!"
SHOWDOWN_NAME_MAD_MAX,"Follia max"
SHOWDOWN_NAME_WIZARD_WACE,"Addosso al Mago!"
SHOWDOWN_NAME_THE_DISTANCE,"La distanza"
SHOWDOWN_NAME_WALK_THE_LINE,"In riga"
SHOWDOWN_NAME_BAD_NEWS,"Beeella storia"
SHOWDOWN_NAME_SWORDLESS,"Disarmato"
SHOWDOWN_NAME_PROFIT_PARTY,"Profittatore"
SHOWDOWN_DESC_TROLLPOCALYPSE,"Centra più troll di tutti."
SHOWDOWN_DESC_PERFECT_RUN,"Segna più punti possibile in 1 volo."
SHOWDOWN_DESC_HAT_HUSTLER,"Centra più cappelli di tutti in 5 min."
SHOWDOWN_DESC_SPEEP_SNIPER,"Completa 2 stanze bonus per primo."
SHOWDOWN_DESC_BOMB_SQUAD,"Elimina 20 bombe nel minor tempo."
SHOWDOWN_DESC_OH_SHINY,"Prendi più Monete elem. possibile."
SHOWDOWN_DESC_FAVORITE_NUMBER,"Avvicinati il più possibile a 123456 punti."
SHOWDOWN_DESC_THE_SLOG,"Libera più aree di tutti."
SHOWDOWN_DESC_PARTY_POOPER,"Buca più palloncini di tutti in 15 min."
SHOWDOWN_DESC_COMBO_CRUNCH,"Arriva a 100 monete combo per primo."
SHOWDOWN_DESC_SHOT_SHOOTER,"Elimina 50 proiettili nel minor tempo."
SHOWDOWN_DESC_MAGICIAN,"Ottieni più punti possibile dagli Oggetti in 15 min."
SHOWDOWN_DESC_CAPT_COMBO,"Esegui più combo Max possibile in 10 min."
SHOWDOWN_DESC_27_PROBLEMS,"Muori più volte di tutti nell'area 27."
SHOWDOWN_DESC_OUT_TO_PASTURE,"Centra più pecore di tutti in 10 min."
SHOWDOWN_DESC_SCROOGE,"Prendi più monete possibile in 1 volo."
SHOWDOWN_DESC_PROTECT_THIS,"Centra più troll Protettori possibile in 30 min."
SHOWDOWN_DESC_MAD_MAX,"Fai più combo Max possibile in 1 volo."
SHOWDOWN_DESC_WIZARD_WACE,"Centra più troll Mago possibile."
SHOWDOWN_DESC_THE_DISTANCE,"Libera più aree possibile in 1 volo."
SHOWDOWN_DESC_WALK_THE_LINE,"Spara ai proiettili che hanno colpito la tua nave."
SHOWDOWN_DESC_BAD_NEWS,"Libera più aree possibile, poi spara a una pecora."
SHOWDOWN_DESC_SWORDLESS,"Fai il miglior volo prima di usare Spade fantasma."
SHOWDOWN_DESC_PROFIT_PARTY,"Prendi più monete combo possibile, poi buca un palloncino."
SHOWDOWN_NOUN_TROLLS,"Troll"
SHOWDOWN_NOUN_POINTS,"Punti"
SHOWDOWN_NOUN_HATS,"Cappelli"
SHOWDOWN_NOUN_SECONDS,"Secondi"
SHOWDOWN_NOUN_COINS,"Monete"
SHOWDOWN_NOUN_AREAS,"Aree"
SHOWDOWN_NOUN_BALLOONS,"Palloncini"
SHOWDOWN_NOUN_COMBOS,"Combo"
SHOWDOWN_NOUN_DEATHS,"Morti"
SHOWDOWN_NOUN_SHEEP,"Pecore"
SHOWDOWN_NOUN_PROJECTILES,"Proiettili"
SHOWDOWN_MEDALEARNED_GOLD,"Medaglia d'oro!"
SHOWDOWN_MEDALEARNED_SILVER,"Medaglia d'argento!"
SHOWDOWN_MEDALEARNED_BRONZE,"Medaglia di bronzo!"
SHOWDOWN_DIDNT_BEAT_OLD_RACE_TIME,"{0} non ha battuto il tuo record di {1}!"
SHOWDOWN_DETAILS_FRIENDS_TITLE,"Amici"
SHOWDOWN_DETAILS_TAP_FRIENDS_TEXT,"Tocca un amico per scrivergli"
SHOWDOWN_REWARDINFOHEADER,"Dati premio"
SHOWDOWN_STATE_COLLECT,"Raccogli!"
SHOWDOWN_COLLECT_LARGEBUTTON,"Raccogli"
SHOWDOWN_FRIEND_MESSAGE_TITLE,"Ehi {0}..."
STOREHUB_MAGIC_ITEMS,"Oggetti magici"
STOREHUB_GEMS,"Gemme"
STOREHUB_COINS,"Monete"
STOREHUB_SKYLANDERS,"Collezione"
COINSTORE_WHY,"Acquista pacchetti di monete per potenziare i tuoi Oggetti magici!"
GEMCONVERTER_TITLE,"Compra monete con gemme"
GEMSTORE_LOADINGPRODUCTS,"Carico prodotti..."
GEMSTORE_WHY,"Sblocca Skylanders e Oggetti con le gemme."
GEMSTORE_MONEY,"Le gemme costano denaro."
GEMSTORE_GREAT_VALUE,"Conveniente!"
GEMSTORE_BEST_VALUE,"Offertona!"
GEMSTORE_TITLE,"Compra gemme"
SKYLANDERSELECT_TITLE,"Collezione di Skylander"
RATEAPPDIALOG_TEXT,"Sei grande! Ci piacerebbe avere la tua opinione. Valuta questo gioco!"
RATEAPPDIALOG_OK,"OK!"
RATEAPPDIALOG_CANCEL,"Dopo"
ACTIVATESELL_CANCEL,"Gioca solo"
ACTIVATESELL_OK,"Registrati"
SD_BUY_CONFIRM,"Sbloccare {0} per {1} gemme?"
SD_UPGRADE_TITLE,"Abilità speciale"
SD_REQUIREMENT_LEVEL,"Richiede liv. {0}"
SD_REQUIREMENT_MAGIC_ITEM,"Richiede {0}"
SONIC_BOOM_UPGRADE_NAME,"Stivali sonici"
SONIC_BOOM_UPGRADE_DESCRIPTION,"Stivali alati agisce 2 volte di seguito"
WHIRLWIND_UPGRADE_NAME,"Diga d'aria"
WHIRLWIND_UPGRADE_DESCRIPTION,"Il potere del vento rallenta i proiettili"
LIGHTNING_ROD_UPGRADE_NAME,"Ninja aereo"
LIGHTNING_ROD_UPGRADE_DESCRIPTION,"I troll volanti danno monete Aria"
WARNADO_UPGRADE_NAME,"Stivali a gogo"
WARNADO_UPGRADE_DESCRIPTION,"{Magic Item} appare più spesso"
STEALTH_ELF_UPGRADE_NAME,"Iperattivo"
STEALTH_ELF_UPGRADE_DESCRIPTION,"Spara a velocità super!"
STUMP_SMASH_UPGRADE_NAME,"Scassacasse"
STUMP_SMASH_UPGRADE_DESCRIPTION,"Guadagna di più con le casse"
ZOOK_UPGRADE_NAME,"Cercatesori"
CAMO_UPGRADE_NAME,"Smagatore"
CAMO_UPGRADE_DESCRIPTION,"Distruggi i Maghi, ricevi monete Vita"
CHOP_CHOP_UPGRADE_NAME,"Spade fantasma"
CHOP_CHOP_UPGRADE_DESCRIPTION,"Spade fantasma più grandi e veloci"
GHOST_ROASTER_UPGRADE_NAME,"Tempo morto"
CYNDER_UPGRADE_NAME,"Barili infestati"
CYNDER_UPGRADE_DESCRIPTION,"Spara ai barili per guadagnare punti extra"
HEX_UPGRADE_NAME,"Stendi-maghi"
HEX_UPGRADE_DESCRIPTION,"I Maghi restano storditi il doppio"
L_CHOP_CHOP_UPGRADE_NAME,"Tritabombe"
L_CHOP_CHOP_UPGRADE_DESCRIPTION,"{Magic Item} attraversa bombe e scudi"
PRISM_BREAK_UPGRADE_NAME,"Sparxly"
TERRAFIN_UPGRADE_NAME,"Suolo ricco"
TERRAFIN_UPGRADE_DESCRIPTION,"Distruggi le rocce, ricevi monete Terra"
BASH_UPGRADE_NAME,"Colpi dall'alto"
BASH_UPGRADE_DESCRIPTION,"Hai Pioggia d'incudini dall'inizio"
DINO_RANG_UPGRADE_NAME,"Dino-Rain"
L_BASH_UPGRADE_NAME,"Combomba"
L_BASH_UPGRADE_DESCRIPTION,"La combo Max distrugge tutte le bombe"
IGNITOR_UPGRADE_NAME,"Arsenale in crescita"
IGNITOR_UPGRADE_DESCRIPTION,"{Magic Item} appare più spesso"
ERUPTOR_UPGRADE_NAME,"Ali roventi"
ERUPTOR_UPGRADE_DESCRIPTION,"Inizi il gioco con Stivali alati"
FLAMESLINGER_UPGRADE_NAME,"Doppio gioco"
SUNBURN_UPGRADE_NAME,"Morte al verde"
SUNBURN_UPGRADE_DESCRIPTION,"Distruggi le piante, ricevi monete Fuoco"
GILL_GRUNT_UPGRADE_NAME,"Fabbro ferraio"
GILL_GRUNT_UPGRADE_DESCRIPTION,"{Magic Item} appare più spesso"
ZAP_UPGRADE_NAME,"Avvio lento"
SLAM_BAM_UPGRADE_NAME,"Atterra-pecore"
SLAM_BAM_UPGRADE_DESCRIPTION,"Le pecore rilasciano monete Acqua"
WHAM_SHELL_UPGRADE_NAME,"Tira sul prezzo"
WHAM_SHELL_UPGRADE_DESCRIPTION,"Elisir curativo costa meno monete"
SPYRO_UPGRADE_NAME,"Punti drago"
SPYRO_UPGRADE_DESCRIPTION,"Inizia il volo con un bonus distanza 5X"
VOODOOD_UPGRADE_NAME,"Scudi d'oro"
VOODOOD_UPGRADE_DESCRIPTION,"Centra troll con lo scudo, vinci monete Magia"
WRECKING_BALL_UPGRADE_NAME,"Due per uno"
DOUBLE_TROUBLE_UPGRADE_NAME,"Doppio Sparx"
DARK_SPYRO_UPGRADE_NAME,"Punti tenebra"
DARK_SPYRO_UPGRADE_DESCRIPTION,"Raggiungi l'Area 10 per un bonus 10x"
L_SPYRO_UPGRADE_NAME,"Punteggio mitico"
DROBOT_UPGRADE_NAME,"Dito robotico"
DROBOT_UPGRADE_DESCRIPTION,"Spara automaticamente raggiungendo la combo Max"
BOOMER_UPGRADE_NAME,"Barili bumbum"
BOOMER_UPGRADE_DESCRIPTION,"I barili esplosivi rilasciano monete Tecnica"
TRIGGER_HAPPY_UPGRADE_NAME,"Incudine d'oro"
TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"L'enorme Incudine d'oro sostituisce Pioggia d'incudini."
DRILL_SERGEANT_UPGRADE_NAME,"Avvio ricco"
L_TRIGGER_HAPPY_UPGRADE_NAME,"Assalto incudine d'oro"
L_TRIGGER_HAPPY_UPGRADE_DESCRIPTION,"Incudine d'oro appare più spesso"
MAGICITEMSELECT_TITLE,"Scegli un oggetto"
MAGIC_ITEM_UPGRADE_WHY,"Gli Oggetti magici sono potenti contro i troll e danno punti bonus. Sbloccali e potenziali tutti!"
MAGIC_ITEM_UNLOCK,"SBLOCCA"
MAGIC_ITEM_UNLOCK_CONFIRM,"Sbloccare {0} per {1} gemme?"
DIALOG_YES,"SÌ"
DIALOG_NO,"NO"
MAGIC_ITEM_BUTTON_UPGRADE,"Upgrade:"
GEM_REFUND_MAGIC_ITEM,"Rimborso! Collega l'Oggetto magico e riprenditi {0} gemme!"
GEM_REFUND_SKYLANDER,"Rimborso! Collega lo Skylander e riprenditi {0} gemme!"
DIALOG_OK,"OK!"
TOYLINK_TOUCH_HERE,"Tocca qui per inserire il codice"
TOYLINK_INSTRUCTIONS,"Immetti il codice Web Card per sbloccare l'Oggetto!"
TOYLINK_ENTER_BUTTON,"Invia"
TOYLINK_TIP_TEXT,"Se hai perso la Web Card, recupera il codice con il Portale Skylanders!

Vedi lo schermo "Aiuto" per i dettagli"
TOYLINK_ERROR_NO_TEXT_ENTERED,"Inserisci il codice della tua Web card."
TOYLINK_ERROR_NOT_ONLINE,"Connessione fallita. Verifica di essere online."
TOYLINK_ERROR_BUTTON_RETRY,"Riprova"
TOYLINK_ERROR_INVALID_CODE,"Questo codice non sembra essere valido."
TOYLINK_ERROR_WRONG_TOY,"Quel codice non è associato a '{0}'"
GAME_AREAS_CLEAR_PLURAL,"aree liberate"
BONUS_OKAY,"Okay!"
BONUS_NOT_BAD,"Non male!"
BONUS_ALMOST,"Quasi!"
BONUS_SO_CLOSE,"Ottimo!"
BONUS_PERFECT,"Perfetto!"
PAUSE_QUIT,"Esci"
PAUSE_CONTINUE,"Continua"
PAUSE_GOALS_SUBTEXT,"Obiettivi correnti"
PAUSE_QUIT_CONFIRM,"Finire il viaggio?"
GAME_OVER,"Hai Perso!"
GAME_FINAL_SCORE,"Punteggio"
GAME_HIGH_SCORE,"Record"
AWARD_LEVEL_UP,"LIV. SUP.!"
INTRO_SKIP,"Saltare?"
PAUSE_HEADER_TITLE,"In pausa"
LOADOUT_EOTD_NO_MATCH,"Diverso"
LOADOUT_EOTD_ELEMENT,"Elemento del giorno"
LOADOUT_EOTD_MATCH,"Uguale!"
GAME_MAGIC_ITEM_LEVEL,"Livello {0}"
GAME_DISTANCE_BONUS,"Bonus distanza {0}X"
GAME_MAGIC_ITEM_BONUS,"Bonus {0}"
GAME_MAGIC_ITEM_SNEAK_PREVIEW,"Anteprima"
HIDEOUT_POPUP,"Tana!"
GAME_NEW_HIGH_SCORE,"Nuovo record!"
AWARD_LEVEL_UP_GEMS,"Hai {0} gemme"
GAME_DIFFICULTY_UP,"Più difficile!"
GOALS_NEW,"Nuovo!"
GOAL_COMPLETED_TEXT,"Completo!"
TUTORIAL_TAP_TROLLS,"Tocca i troll per colpirli!"
TUTORIAL_SHOOT_ALL_TROLLS,"Elimina i troll per passare alla prossima area!"
TUTORIAL_SLIDE,"Ora passa il dito sui troll..."
TUTORIAL_COINS,"Ottimo! Prendi le monete!"
TUTORIAL_BIGGER_COMBOS,"Grandi combo = tante monete e punteggi più alti!"
TUTORIAL_TARGET_ALL_6,"Puntali tutti e sei per una combo MAX!"
TUTORIAL_GREAT_COMBO,"Wow, che combo! Tocca le monete per prenderle."
TUTORIAL_MAGIC_ITEM_UNLOCK,"Sblocca nuovi Oggetti magici nella Collezione!"
TUTORIAL_MAGIC_ITEM_COLLECT,"Tocca l'Oggetto magico per prenderlo!"
TUTORIAL_MAGIC_ITEM_USE,"Ora tocca l'Oggetto magico per usarlo!"
HEADER_NEW_HIGH_SCORE,"Nuovo record {0}"
TAB_LEADERBOARDS,"Classifiche"
TAB_CHALLENGES_NEW,"NUOVO!"
FOOTER_NO_GEMS_NAG,"Gemme insufficienti. Toccami per andare al Negozio di gemme!"
FOOTER_NO_COINS_NAG,"Monete insufficienti. Toccami per andare al Negozio di monete!"
FOOTER_LEVEL_NAG_SINGLE,"Ancora {0} stella per salire di livello e ricevere {1} gemme."
FOOTER_LEVEL_NAG_PLURAL,"Ancora {0} stelle per salire di livello e ricevere {1} gemme."
SD_SELECT_BUTTON,"SCEGLI!"
SD_UPGRADE_CONFIRM,"Sbloccare {0} per {1} monete?"
ZOOK_UPGRADE_DESCRIPTION,"Tesoro nascosto appare più spesso"
GHOST_ROASTER_UPGRADE_DESCRIPTION,"Distorcitempo agisce 2 volte di fila"
PRISM_BREAK_UPGRADE_DESCRIPTION,"Sparx distrugge 5 bombe in più per volta"
DINO_RANG_UPGRADE_DESCRIPTION,"Pioggia d'incudini agisce 2 volte di fila"
FLAMESLINGER_UPGRADE_DESCRIPTION,"Spade fantasma agisce 2 volte di fila"
ZAP_UPGRADE_DESCRIPTION,"Hai il Distorcitempo dall'inizio"
WRECKING_BALL_UPGRADE_DESCRIPTION,"Distorcitempo appare più spesso"
DOUBLE_TROUBLE_UPGRADE_DESCRIPTION,"Sparx agisce 2 volte di fila"
L_SPYRO_UPGRADE_DESCRIPTION,"Raggiungi l'Area 40 per un bonus 40x"
DRILL_SERGEANT_UPGRADE_DESCRIPTION,"Hai il Tesoro nascosto dall'inizio"
GEM_REFUND_TITLE,"Rimborso gemme!"
GAME_AREAS_CLEAR_SINGULAR,"Area superata"
GAME_AREAS_CLEARED_RECORD,"Record: {0}"
BONUS_POOR,"Scarso"
LOADOUT_EOTD_COIN_BONUS,"Monete bonus!"
GAME_CONTINUE,"Continuare?"
GOAL_REMAINING_TEXT,"ancora."
AWARD_COINS_EOTD,"Elemento del giorno"
AWARD_COINS_MATCH,"UGUALE"
AWARD_COINS_SKYLANDERS_PLURAL,"{0} Skylander"
AWARD_COINS_SKYLANDERS_SINGLE,"{0} Skylander"
AWARD_GEMS_SINGLE,"Trovata una gemma"
AWARD_GEMS_PLURAL,"Trovate {0} gemme"
TAB_SHOWDOWNS,"Duelli"
SHOWDOWN_MEDAL_AWARD_HEADER,"ASSEGNATA MEDAGLIA DUELLO"
SHOWDOWN_ADD_FRIENDS_HELP_OPEN,"Premi qui per aggiungere amici di ACTIVATE o Facebook.

Ricorda che alla fine del Duello, tra {1}, riceverai {0} monete per ogni amico sconfitto!"
